work_id,completion_date,disbursed_amount,has_evidence,raw_evidence_status
WS/MP18153/2024-2025/137285-Installing community drinking water plants,30-Dec-2024,232767.0,False,nan
WS/MP18153/2024-2025/137284-Installing community drinking water plants,30-Dec-2024,231710.0,False,nan
WS/MP18153/2024-2025/137283-Installing community drinking water plants,08-Jan-2025,232497.0,False,nan
WS/MP18153/2024-2025/137292-Installing community drinking water plants,30-Dec-2024,232650.0,False,nan
WS/MP18153/2024-2025/137291-Installing community drinking water plants,30-Dec-2024,231240.0,False,nan
WS/MP18153/2024-2025/137290-Installing community drinking water plants,30-Dec-2024,232650.0,False,nan
WS/MP18153/2024-2025/137289-Installing community drinking water plants,30-Dec-2024,232297.0,False,nan
WS/MP18153/2024-2025/137288-Installing community drinking water plants,30-Dec-2024,232532.0,False,nan
WS/MP18153/2024-2025/137287-Installing community drinking water plants,30-Dec-2024,233002.0,False,nan
WS/MP18153/2024-2025/137293-Installing community drinking water plants,30-Dec-2024,231827.0,False,nan
WS/MP18153/2024-2025/135257-Installing community drinking water plants,30-Dec-2024,232180.0,False,nan
WS/MP18153/2024-2025/135256-Installing community drinking water plants,30-Dec-2024,232415.0,False,nan
WS/MP18153/2024-2025/135255-Installing community drinking water plants,30-Dec-2024,232062.0,False,nan
WS/MP18153/2024-2025/135259-Installing community drinking water plants,30-Dec-2024,232650.0,False,nan
WS/MP18153/2024-2025/135258-Installing community drinking water plants,30-Dec-2024,232415.0,False,nan
WS/MP18153/2024-2025/135262-Installing community drinking water plants,30-Dec-2024,232697.0,False,nan
WS/MP18153/2024-2025/135261-Installing community drinking water plants,30-Dec-2024,232180.0,False,nan
WS/MP18153/2024-2025/135260-Installing community drinking water plants,30-Dec-2024,232415.0,False,nan
WS/MP18153/2024-2025/135263-Installing community drinking water plants,30-Dec-2024,232415.0,False,nan
WS/MP18153/2024-2025/135266-Installing community drinking water plants,30-Dec-2024,232415.0,False,nan
WS/MP18153/2024-2025/135264-Purchase of mobile water tankers,04-Apr-2025,241056.0,False,nan
WS/MP18153/2024-2025/135265-Purchase of mobile water tankers,04-Apr-2025,240833.0,False,nan
WS/MP18152/2024-2025/133698-Construction of rooms and halls in school and colleges,07-May-2025,250000.0,False,nan
