transaction_id,canonical_work_id,official_work_id,parliament,source_dataset,source_row_id,vendor_name,ida_agency,work_status,transaction_amount,transaction_date,state,constituency,mp_name
TX_RA_001235,CW_RA_EXP_001235,WS/MP104/2026-2027/252090,rajya_sabha,expenditure,1234,Prateek Kumar Patel,DINDORI(District Collector Dindori_IDA),Payment Success,995100.0,,Madhya Pradesh,,L. Murugan (2024-30) (2024-2030)
TX_RA_001236,CW_RA_EXP_001236,WS/MP18294/2024-2025/134392,rajya_sabha,expenditure,1235,Anil Bharat Pardhi,GONDIA(DISTRICT COLLECTOR GONDIA_IDA),Payment Success,499989.0,,Maharashtra,,Praful Patel (2024-30) (2024-2030)
TX_RA_001237,CW_RA_EXP_001237,WS/MP106/2026-2027/277339,rajya_sabha,expenditure,1236,Khushi Material Supplier,DINDORI(District Collector Dindori_IDA),Payment Success,245280.0,,Madhya Pradesh,,Vivek K. Tankha (2022-28) (2022-2028)
TX_RA_001238,CW_RA_EXP_001238,WS/MP218/2025-2026/267174,rajya_sabha,expenditure,1237,Pioneer Protech,KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA),Payment Success,299432.0,,West Bengal,,Dola Sen (2023-29) (2023-2029)
TX_RA_001239,CW_RA_EXP_001239,WS/MP218/2025-2026/267173,rajya_sabha,expenditure,1238,Pioneer Protech,KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA),Payment Success,1642899.0,,West Bengal,,Dola Sen (2023-29) (2023-2029)
TX_RA_001240,CW_RA_EXP_001240,WS/MP18291/2025-2026/192950,rajya_sabha,expenditure,1239,Nilesh Construction,NAVSARI(DISTRICT COLLECTOR NAVSARI_IDA),Payment Success,1955602.0,,Gujarat,,Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)
TX_RA_001241,CW_RA_EXP_001241,WS/MP071/2025-2026/223193,rajya_sabha,expenditure,1240,Jagat Doley,JORHAT(DEPUTY COMMISSIONER JORHAT_IDA),Payment Success,394750.0,,Assam,,Pabitra Margherita (2022-28) (2022-2028)
TX_RA_001242,CW_RA_EXP_001242,WS/MP889/2025-2026/162253,rajya_sabha,expenditure,1241,Bhutedi,BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA),Payment Success,454810.0,,Gujarat,,Babubhai Jesangbhai Desai (2023-29) (2023-2029)
TX_RA_001243,CW_RA_EXP_001243,WS/MP106/2026-2027/277339,rajya_sabha,expenditure,1242,Maa Bhavani Stone Crashaer,DINDORI(District Collector Dindori_IDA),Payment Success,197521.0,,Madhya Pradesh,,Vivek K. Tankha (2022-28) (2022-2028)
TX_RA_001244,CW_RA_EXP_001244,WS/MP18347/2026-2027/272737,rajya_sabha,expenditure,1243,Dhigarra Associates,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Payment Success,936751.0,,Uttar Pradesh,,Naveen Jain (2024-30) (2024-2030)
