sr_no,state,work_description,work_id,ida_agency,mp_name,constituency,expenditure_amount,vendor_name,work_status,expenditure_amount
59,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214174,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,18044.0,Ajay Kumar Singh,Payment In-Progress,18044.0
60,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214190,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,18044.0,Ajay Kumar Singh,Payment In-Progress,18044.0
61,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214196,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,18044.0,Ajay Kumar Singh,Payment In-Progress,18044.0
62,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214193,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,18044.0,Ajay Kumar Singh,Payment In-Progress,18044.0
63,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214195,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,18044.0,Ajay Kumar Singh,Payment In-Progress,18044.0
64,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214061,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,18044.0,Ajay Kumar Singh,Payment In-Progress,18044.0
65,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214104,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,18044.0,Ajay Kumar Singh,Payment In-Progress,18044.0
66,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214103,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,18044.0,Ajay Kumar Singh,Payment In-Progress,18044.0
67,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214105,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,18044.0,Ajay Kumar Singh,Payment In-Progress,18044.0
68,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214106,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,18044.0,Ajay Kumar Singh,Payment In-Progress,18044.0
69,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214107,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,18044.0,Ajay Kumar Singh,Payment In-Progress,18044.0
70,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214003,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,18044.0,Ajay Kumar Singh,Payment In-Progress,18044.0
71,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214001,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,18044.0,Ajay Kumar Singh,Payment In-Progress,18044.0
72,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214002,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,18044.0,Ajay Kumar Singh,Payment In-Progress,18044.0
73,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214060,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,18044.0,Ajay Kumar Singh,Payment In-Progress,18044.0
74,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214059,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,18044.0,Ajay Kumar Singh,Payment In-Progress,18044.0
75,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214058,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,18044.0,Ajay Kumar Singh,Payment In-Progress,18044.0
76,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214009,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,18044.0,Ajay Kumar Singh,Payment In-Progress,18044.0
77,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214010,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,18044.0,Ajay Kumar Singh,Payment In-Progress,18044.0
78,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171510,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
79,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171501,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
80,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171466,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
81,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171467,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
82,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171454,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
83,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171451,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
84,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171468,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Babu Singh Kushwaha,JAUNPUR,19992.0,Ajay Kumar Singh,Payment In-Progress,19992.0
