state_id,state,parliament_type,tenure_id,tenure_caption,allocated_crore,expenditure_crore,works_recommended,works_sanctioned,works_completed,scraped_at
30,Tamil Nadu,RS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:16.981918
129,Telangana,RS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:17.873704
10,The Dadra And Nagar Haveli And Daman And Diu,RS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:19.395472
31,Tripura,RS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:20.829007
33,Uttar Pradesh,RS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:22.101856
32,Uttarakhand,RS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:23.395872
34,West Bengal,RS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:24.670059
35,Andaman And Nicobar Islands,RS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:25.944107
2,Andhra Pradesh,RS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:27.158323
3,Arunachal Pradesh,RS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:29.463431
5,Assam,RS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:32.056355
6,Bihar,RS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:34.584324
7,Chandigarh,RS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:36.229458
8,Chhattisgarh,RS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:37.404552
11,Delhi,RS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:39.063030
12,Goa,RS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:41.447759
27,Gujarat,RS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:44.022743
14,Haryana,RS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:45.303823
15,Himachal Pradesh,RS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:46.555747
16,Jammu And Kashmir,RS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:48.513363
17,Jharkhand,RS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:49.637909
18,Karnataka,RS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:50.583331
36,Kerala,RS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:51.550086
130,Ladakh,RS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:53.463700
19,Lakshadweep,RS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:54.279035
20,Madhya Pradesh,RS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:54.902871
21,Maharashtra,RS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:55.440285
22,Manipur,RS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:56.028573
23,Meghalaya,RS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:56.577904
13,Mizoram,RS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:57.143342
24,Nagaland,RS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:57.972385
25,Odisha,RS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:58.532836
26,Puducherry,RS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:59.229792
1,Punjab,RS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:12:59.863368
28,Rajasthan,RS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:13:00.503674
29,Sikkim,RS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:13:01.143250
30,Tamil Nadu,RS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:13:01.687976
129,Telangana,RS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:13:02.263210
10,The Dadra And Nagar Haveli And Daman And Diu,RS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:13:02.912265
31,Tripura,RS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:13:03.905789
33,Uttar Pradesh,RS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:13:04.675319
32,Uttarakhand,RS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:13:05.305423
34,West Bengal,RS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:13:06.263313
