alias_id,ida_id,original_name,normalized_name,confidence_score,verified
IDA_ALIAS_000628,IDA_000628,EAST JAINTIA HILLS(DEPUTY COMMISSIONER EAST JAINTIA HILLS KHLIEHRIAT_IDA),east jaintia hillsdeputy commissioner east jaintia hills khliehriatida,1.0,True
IDA_ALIAS_000629,IDA_000629,LATEHAR(DEPUTY COMMISSIONER LATEHAR_IDA),latehardeputy commissioner lateharida,1.0,True
IDA_ALIAS_000630,IDA_000630,KABEERDHAM(DISTRICT COLLECTOR KABIRDHAM),kabeerdhamdistrict collector kabirdham,1.0,True
IDA_ALIAS_000631,IDA_000631,SHAHID BHAGAT SINGH NAGAR(DEPUTY COMMISSIONER SHAHID BHAGAT SINGH NAGAR_IDA),shahid bhagat singh nagardeputy commissioner shahid bhagat singh nagarida,1.0,True
IDA_ALIAS_000632,IDA_000632,NAMSAI(DEPUTY COMMISIONER NAMSAI_IDA),namsaideputy commisioner namsaiida,1.0,True
IDA_ALIAS_000633,IDA_000633,DIU(COLLECTOR DIU),diucollector diu,1.0,True
IDA_ALIAS_000634,IDA_000634,"WEST SIANG(DEPUTY COMMISSIONER, WEST SIANG (IDA))",west siangdeputy commissioner west siang ida,1.0,True
IDA_ALIAS_000635,IDA_000635,RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA),rajsamanddistrict collector rajsamandida,1.0,True
IDA_ALIAS_000636,IDA_000636,EASTERN WEST KHASI HILLS(DEPUTY COMMISSIONER EASTERN WEST KHASI HILLS MAIRANG_IDA),eastern west khasi hillsdeputy commissioner eastern west khasi hills mairangida,1.0,True
IDA_ALIAS_000637,IDA_000637,VIJAYANAGARA(DEPUTY COMMISSIONER VIJAYANAGARA_IDA),vijayanagaradeputy commissioner vijayanagaraida,1.0,True
IDA_ALIAS_000638,IDA_000638,ELURU(DISTRICT COLLECTOR ELURU_IDA),elurudistrict collector eluruida,1.0,True
IDA_ALIAS_000639,IDA_000639,JHARGRAM(DISTRICT MAGISTRATE JHARGRAM_IDA),jhargramdistrict magistrate jhargramida,1.0,True
IDA_ALIAS_000640,IDA_000640,BEED(DISTRICT COLLECTOR BEED_IDA),beeddistrict collector beedida,1.0,True
IDA_ALIAS_000641,IDA_000641,MAUGANJ(DISTRICT COLLECTOR MAUGANJ_IDA),mauganjdistrict collector mauganjida,1.0,True
IDA_ALIAS_000642,IDA_000642,BALOTRA(DISTRICT COLLECTOR BALOTRA_IDA),balotradistrict collector balotraida,1.0,True
IDA_ALIAS_000643,IDA_000643,BARMER(DISTRICT COLLECTOR BARMER_IDA),barmerdistrict collector barmerida,1.0,True
IDA_ALIAS_000644,IDA_000644,JODHPUR GRAMIN(DISTRICT COLLECTOR JODHPUR RURAL_IDA),jodhpur gramindistrict collector jodhpur ruralida,1.0,True
IDA_ALIAS_000645,IDA_000645,SHEOHAR(DISTRICT PLANNING OFFICER SEOHAR_IDA),sheohardistrict planning officer seoharida,1.0,True
IDA_ALIAS_000646,IDA_000646,SOUTH EAST(COMMISSIONER MCD SOUTH EAST_IDA),south eastcommissioner mcd south eastida,1.0,True
IDA_ALIAS_000647,IDA_000647,DAUSA(DISTRICT COLLECTOR DAUSA_IDA),dausadistrict collector dausaida,1.0,True
IDA_ALIAS_000648,IDA_000648,"SIAHA(DEPUTY COMMISSIONER, SIAHA)",siahadeputy commissioner siaha,1.0,True
IDA_ALIAS_000649,IDA_000649,"LUNGLEI(DEPUTY COMMISSIONER, LUNGLEI)",lungleideputy commissioner lunglei,1.0,True
IDA_ALIAS_000650,IDA_000650,PATHANKOT(DEPUTY COMMISSIONER PATHANKOT_IDA),pathankotdeputy commissioner pathankotida,1.0,True
IDA_ALIAS_000651,IDA_000651,PAPUM PARE(DEPUTY COMMISSIONER PAPUM PARE_IDA),papum paredeputy commissioner papum pareida,1.0,True
IDA_ALIAS_000652,IDA_000652,PULWAMA(DEPUTY COMMISSIONER  PULWAMA_IDA),pulwamadeputy commissioner pulwamaida,1.0,True
