canonical_work_id,iso_forest_raw_score,lof_raw_score,ml_anomaly_score,is_ml_anomaly,top_contributing_features
WORK_HASH_10011091660735211971,-0.1742,-0.4604,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_10011105896537222140,-0.1929,0.1288,0.0,False,inactivity_gap_days
WORK_HASH_10011244062966266839,-0.163,-0.4608,0.0,False,sanction_delay_days
WORK_HASH_10011252179615397413,-0.2175,-0.5086,0.0,False,multivariate_combination
WORK_HASH_10011263718593446017,-0.1858,-0.4929,0.0,False,sanction_delay_days
WORK_HASH_1001127281009819169,-0.1498,-0.4873,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_1001149381922866547,-0.0945,-0.3548,0.0,False,"inactivity_gap_days, sanction_delay_days"
WORK_HASH_10011593331789974572,-0.1933,-0.521,0.0,False,multivariate_combination
WORK_HASH_10011617464550464837,-0.1508,-0.5171,0.0,False,sanction_delay_days
WORK_HASH_10011629251582813995,-0.0014,0.2434,0.0,False,inactivity_gap_days
WORK_HASH_10011631835492065218,-0.0695,-0.3696,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_10011699071142122649,-0.2049,-0.5,0.0,False,inactivity_gap_days
WORK_HASH_10011800278829517928,-0.1497,-0.4685,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_10011856109029951870,-0.2188,-0.4788,0.0,False,multivariate_combination
WORK_HASH_1001193542496245495,0.0783,-0.4768,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_1001197309142867388,-0.2133,-0.417,0.0,False,inactivity_gap_days
WORK_HASH_10012247763502566899,-0.1499,-0.5293,0.0,False,"inactivity_gap_days, sanction_delay_days"
WORK_HASH_10012253683539013436,-0.2049,-0.5,0.0,False,inactivity_gap_days
WORK_HASH_1001229949684722363,-0.2168,-0.5346,0.0,False,multivariate_combination
WORK_HASH_10012489013175233782,-0.1333,-0.4764,0.0,False,sanction_delay_days
WORK_HASH_10012873779372233878,-0.0428,-0.5039,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_10012880130943452055,-0.1306,-0.4067,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_10013019281299735275,-0.1983,-0.3502,0.0,False,inactivity_gap_days
WORK_HASH_10013277965543901338,-0.1671,-0.4726,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_100133191113624039,-0.1443,-0.4637,0.0,False,sanction_delay_days
WORK_HASH_10013391113802672890,-0.2183,-0.2002,0.0,False,multivariate_combination
WORK_HASH_10013416400633283740,-0.1532,-0.4489,0.0,False,sanction_delay_days
WORK_HASH_10013464232563498126,-0.0726,-0.4901,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_1001353428781845634,-0.1765,-0.3492,0.0,False,sanction_delay_days
WORK_HASH_10013597736640606158,-0.1311,-0.4465,0.0,False,sanction_delay_days
WORK_HASH_100143179623337190,0.0101,-0.5125,0.0,False,sanction_delay_days
WORK_HASH_100146488790139673,-0.1784,-0.4987,0.0,False,sanction_delay_days
WORK_HASH_10014736683599134911,-0.2175,-0.4832,0.0,False,multivariate_combination
WORK_HASH_10014797755982722985,-0.1932,0.1427,0.0,False,inactivity_gap_days
WORK_HASH_10014947631145455734,0.0496,-0.4603,0.0,False,sanction_delay_days
WORK_HASH_10014983059609716649,0.0235,-0.4998,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_10015019269195963900,-0.2049,-0.5,0.0,False,inactivity_gap_days
WORK_HASH_10015062117628624861,-0.1852,-0.4939,0.0,False,sanction_delay_days
WORK_HASH_10015232243684895138,-0.2182,16272188.8491,0.35,False,multivariate_combination
WORK_HASH_10015252171384743921,-0.2206,-0.4397,0.0,False,multivariate_combination
WORK_HASH_1001538819113661641,-0.2131,-0.4645,0.0,False,inactivity_gap_days
WORK_HASH_10015519167733966139,-0.0418,-0.4558,0.0,False,sanction_delay_days
WORK_HASH_10015675187676247882,-0.1958,-0.5,0.0,False,inactivity_gap_days
WORK_HASH_10015730087024945539,-0.1549,-0.4549,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_10015749514618244901,-0.1517,-0.3781,0.0,False,sanction_delay_days
WORK_HASH_10015929644904777157,0.062,-0.4638,0.0,False,sanction_delay_days
WORK_HASH_10015992652835188253,-0.1969,-0.4741,0.0,False,multivariate_combination
WORK_HASH_10016192095257766505,-0.194,-0.4408,0.0,False,sanction_delay_days
WORK_HASH_1001622550750217627,-0.1804,-0.5009,0.0,False,sanction_delay_days
WORK_HASH_10016283804164424496,-0.1557,-0.5275,0.0,False,sanction_delay_days
WORK_HASH_10016349370012800943,-0.1535,-0.4207,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_10016431533102667826,-0.0729,-0.5227,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_10016537161900977373,-0.1355,-0.4431,0.0,False,"inactivity_gap_days, sanction_delay_days"
WORK_HASH_10016549108855051838,-0.1035,-0.5058,0.0,False,sanction_delay_days
WORK_HASH_10016573281385899721,0.0023,-0.2172,0.0,False,inactivity_gap_days
WORK_HASH_10016937976447532721,-0.1991,-0.4393,0.0,False,inactivity_gap_days
WORK_HASH_10017074176008629320,-0.063,2.5557,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_1001719699106939748,-0.2182,-0.3895,0.0,False,multivariate_combination
WORK_HASH_10017370812875285279,-0.2049,-0.5,0.0,False,inactivity_gap_days
WORK_HASH_10017426594289975827,-0.1773,-0.3953,0.0,False,sanction_delay_days
WORK_HASH_10017510226293495782,-0.1789,-0.4934,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_10017683604149702642,-0.1782,-0.5004,0.0,False,sanction_delay_days
WORK_HASH_10017714666056515911,-0.1607,-0.5184,0.0,False,inactivity_gap_days
WORK_HASH_10017721723437378085,-0.1229,-0.3652,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_10017763060368346069,-0.2049,-0.5,0.0,False,inactivity_gap_days
