parliament,state,mp_name,work_count,sanctioned_work_count,completed_work_count,total_sanctioned_amount,total_expenditure,avg_sanctioned_amount,completion_rate,utilization_rate
lok_sabha,Uttar Pradesh,Anand Bhadauriya,71,69,31,68082964.0,0.0,986709.6231884058,0.437,0.0
lok_sabha,Uttar Pradesh,Anand Kumar,81,54,26,73141677.0,0.0,1354475.5,0.321,0.0
lok_sabha,Uttar Pradesh,Anoop Pradhan Balmiki,102,102,66,142527022.0,0.0,1397323.7450980393,0.647,0.0
lok_sabha,Uttar Pradesh,Anupriya Patel,6,6,0,56690200.0,0.0,9448366.666666666,0.0,0.0
lok_sabha,Uttar Pradesh,Anurag Sharma,54,53,30,41625431.0,0.0,785385.4905660377,0.556,0.0
lok_sabha,Uttar Pradesh,Arun Govil,229,114,33,82962350.0,0.0,727739.9122807018,0.144,0.0
lok_sabha,Uttar Pradesh,Arun Kumar Sagar,7,7,4,145876200.0,0.0,20839457.14285714,0.571,0.0
lok_sabha,Uttar Pradesh,Ashok Kumar Rawat,4,3,1,117516085.0,0.0,39172028.333333336,0.25,0.0
lok_sabha,Uttar Pradesh,Atul Garg,69,63,35,59710189.0,0.0,947780.7777777778,0.507,0.0
lok_sabha,Uttar Pradesh,Awadhesh Prasad,201,156,108,104159313.0,0.0,667687.9038461539,0.537,0.0
lok_sabha,Uttar Pradesh,Babu Singh Kushwaha,665,658,507,93473025.0,0.0,142056.26899696048,0.762,0.0
lok_sabha,Uttar Pradesh,Bhola Singh,249,248,114,93301259.0,0.0,376214.75403225806,0.458,0.0
lok_sabha,Uttar Pradesh,Chandan Chauhan,33,27,9,21499316.0,0.0,796270.9629629629,0.273,0.0
lok_sabha,Uttar Pradesh,Chandra Shekhar,107,106,102,37663620.0,0.0,355317.1698113208,0.953,0.0
lok_sabha,Uttar Pradesh,Chhatra Pal Singh Gangwar,99,96,93,72487119.0,0.0,755074.15625,0.939,0.0
lok_sabha,Uttar Pradesh,Chhotelal,176,163,76,61338093.0,0.0,376307.31901840493,0.432,0.0
lok_sabha,Uttar Pradesh,Daroga Prasad Saroj,288,283,58,90903399.0,0.0,321213.42402826855,0.201,0.0
lok_sabha,Uttar Pradesh,Devendra Alias Bhole Singh,23,23,12,36837193.0,0.0,1601617.0869565217,0.522,0.0
lok_sabha,Uttar Pradesh,Devesh Shakya,334,302,217,87928460.0,0.0,291153.8410596026,0.65,0.0
lok_sabha,Uttar Pradesh,Dharmendra Yadav,63,62,15,86253239.0,0.0,1391181.2741935484,0.238,0.0
lok_sabha,Uttar Pradesh,Dimple Yadav,102,95,40,83207634.0,0.0,875869.8315789474,0.392,0.0
lok_sabha,Uttar Pradesh,Harendra Singh Malik,217,117,31,74188226.0,0.0,634087.4017094017,0.143,0.0
lok_sabha,Uttar Pradesh,Hema Malini,60,43,17,45515779.0,0.0,1058506.488372093,0.283,0.0
lok_sabha,Uttar Pradesh,Imran Masood,114,101,51,85785107.0,0.0,849357.4950495049,0.447,0.0
lok_sabha,Uttar Pradesh,Iqra Choudhary,92,64,45,52683632.0,0.0,823181.75,0.489,0.0
lok_sabha,Uttar Pradesh,Jagdambika Pal,75,68,0,93108500.0,0.0,1369242.6470588236,0.0,0.0
lok_sabha,Uttar Pradesh,Jai Prakash,14,13,3,41366203.0,0.0,3182015.6153846155,0.214,0.0
lok_sabha,Uttar Pradesh,Jitendra Kumar Dohare,514,470,192,154592005.0,0.0,328919.1595744681,0.374,0.0
lok_sabha,Uttar Pradesh,Jitin Prasada,15,15,1,23751490.0,0.0,1583432.6666666667,0.067,0.0
lok_sabha,Uttar Pradesh,Kamlesh Paswan,77,74,0,70752414.0,0.0,956113.7027027027,0.0,0.0
lok_sabha,Uttar Pradesh,Kanwar Singh Tanwar,99,85,55,98770305.0,0.0,1162003.5882352942,0.556,0.0
lok_sabha,Uttar Pradesh,Karan Bhushan Singh,88,63,33,81376675.0,0.0,1291693.253968254,0.375,0.0
lok_sabha,Uttar Pradesh,Kirti Vardhan Singh,138,138,35,94077413.0,0.0,681720.3840579711,0.254,0.0
lok_sabha,Uttar Pradesh,Kishori Lal,39,37,16,78553613.0,0.0,2123070.621621622,0.41,0.0
lok_sabha,Uttar Pradesh,Krishna Devi Shivshanker Patel,146,126,109,35562240.12,0.0,282240.00095238094,0.747,0.0
lok_sabha,Uttar Pradesh,Lalji Verma,292,231,61,120052344.0,0.0,519707.1168831169,0.209,0.0
lok_sabha,Uttar Pradesh,Laxmikant Pappu Nishad,414,279,1,35694600.0,0.0,127937.63440860216,0.002,0.0
lok_sabha,Uttar Pradesh,Mahesh Sharma,172,111,68,96545121.28,0.0,869775.8673873874,0.395,0.0
lok_sabha,Uttar Pradesh,Mohibbullah,9,8,6,5933093.0,0.0,741636.625,0.667,0.0
lok_sabha,Uttar Pradesh,Mukesh Rajput,49,48,44,26958998.0,0.0,561645.7916666666,0.898,0.0
lok_sabha,Uttar Pradesh,Narayan Das Ahirwar,18,15,2,10213471.64,0.0,680898.1093333333,0.111,0.0
lok_sabha,Uttar Pradesh,Narendra Modi,169,169,155,81692804.0,0.0,483389.37278106506,0.917,0.0
lok_sabha,Uttar Pradesh,Naresh Chandra Uttam Patel,79,72,13,69528995.0,0.0,965680.4861111111,0.165,0.0
lok_sabha,Uttar Pradesh,Neeraj Maurya,27,15,13,44988238.0,0.0,2999215.8666666667,0.481,0.0
lok_sabha,Uttar Pradesh,Pankaj Chowdhary,49,49,35,97560284.0,0.0,1991026.2040816327,0.714,0.0
lok_sabha,Uttar Pradesh,Praveen Patel,24,24,14,98136533.0,0.0,4089022.2083333335,0.583,0.0
lok_sabha,Uttar Pradesh,Priya Saroj,1348,1317,705,83537532.0,0.0,63430.16856492027,0.523,0.0
lok_sabha,Uttar Pradesh,Pushpendra Saroj,747,715,608,69456045.0,0.0,97141.32167832168,0.814,0.0
lok_sabha,Uttar Pradesh,R.K. Chaudhary,92,76,14,57677630.0,0.0,758916.1842105263,0.152,0.0
lok_sabha,Uttar Pradesh,Rahul Gandhi,55,50,7,42992942.0,0.0,859858.84,0.127,0.0
lok_sabha,Uttar Pradesh,Rajeev Rai,205,191,105,76964325.0,0.0,402954.5811518325,0.512,0.0
lok_sabha,Uttar Pradesh,Rajkumar Chahar,38,38,34,77104078.0,0.0,2029054.6842105263,0.895,0.0
lok_sabha,Uttar Pradesh,Rajkumar Sangwan,90,47,5,43924898.0,0.0,934572.2978723404,0.056,0.0
lok_sabha,Uttar Pradesh,Rajnath Singh,102,100,31,102408976.0,0.0,1024089.76,0.304,0.0
lok_sabha,Uttar Pradesh,Rakesh Rathor,68,50,21,106826349.0,0.0,2136526.98,0.309,0.0
lok_sabha,Uttar Pradesh,Ram Prasad Chaudhary,90,76,22,92608280.0,0.0,1218530.0,0.244,0.0
lok_sabha,Uttar Pradesh,Ram Shiromani,246,193,0,24701850.0,0.0,127988.86010362694,0.0,0.0
lok_sabha,Uttar Pradesh,Ramashankar Rajbhar,161,129,58,67648807.0,0.0,524409.3565891472,0.36,0.0
lok_sabha,Uttar Pradesh,Rambhual Nishad,18,14,5,78704831.0,0.0,5621773.642857143,0.278,0.0
lok_sabha,Uttar Pradesh,Ramesh Awasthi,63,63,42,48385838.0,0.0,768029.1746031746,0.667,0.0
lok_sabha,Uttar Pradesh,Ravindra Shyamnarayan Alias Ravi Kishan Shukla,9,9,0,21318500.0,0.0,2368722.222222222,0.0,0.0
lok_sabha,Uttar Pradesh,Ruchi Vira,175,174,117,42715367.0,0.0,245490.61494252874,0.669,0.0
lok_sabha,Uttar Pradesh,S P Singh,391,289,72,55238181.0,0.0,191135.57439446368,0.184,0.0
lok_sabha,Uttar Pradesh,Sanatan Pandey,40,34,16,23908959.0,0.0,703204.6764705882,0.4,0.0
lok_sabha,Uttar Pradesh,Satish Kumar Gautam,76,76,21,97816769.0,0.0,1287062.75,0.276,0.0
lok_sabha,Uttar Pradesh,Shashank Mani,113,70,41,75518656.0,0.0,1078837.9428571428,0.363,0.0
lok_sabha,Uttar Pradesh,Sp Singh Baghel,81,63,55,91740438.0,0.0,1456197.4285714286,0.679,0.0
lok_sabha,Uttar Pradesh,Swami Sachchidanandhari Sakshi Ji Maharaj,81,68,12,79585036.0,0.0,1170368.1764705882,0.148,0.0
lok_sabha,Uttar Pradesh,Tanuj Punia,23,18,11,73877908.0,0.0,4104328.222222222,0.478,0.0
lok_sabha,Uttar Pradesh,Ujjwal Raman Singh,25,25,3,91488733.0,0.0,3659549.32,0.12,0.0
lok_sabha,Uttar Pradesh,Utkarsh Verma Madhur,91,84,79,32518398.0,0.0,387123.78571428574,0.868,0.0
lok_sabha,Uttar Pradesh,Vijay Kumar Dubey,270,179,129,88589109.0,0.0,494911.2234636872,0.478,0.0
lok_sabha,Uttar Pradesh,Vinod Kumar Bind,542,541,405,90213597.0,0.0,166753.41404805914,0.747,0.0
lok_sabha,Uttar Pradesh,Virendra Singh,26,23,9,78343139.0,0.0,3406223.434782609,0.346,0.0
lok_sabha,Uttar Pradesh,Zia Ur Rehman,296,288,0,81937800.0,0.0,284506.25,0.0,0.0
lok_sabha,Uttarakhand,Ajay Bhatt,88,74,22,20268185.0,0.0,273894.3918918919,0.25,0.0
lok_sabha,Uttarakhand,Ajay Tamta,143,85,3,17421406.0,0.0,204957.71764705883,0.021,0.0
lok_sabha,Uttarakhand,Anil Baluni,11,9,1,10195000.0,0.0,1132777.7777777778,0.091,0.0
lok_sabha,Uttarakhand,Mala Rajya Laxmi Shah,212,191,79,78908541.0,0.0,413133.722513089,0.373,0.0
lok_sabha,Uttarakhand,Trivendra Singh Rawat,43,28,3,19374910.0,0.0,691961.0714285715,0.07,0.0
lok_sabha,West Bengal,Abhijit Gangopadhyay,56,41,13,15331987.0,0.0,373950.9024390244,0.232,0.0
lok_sabha,West Bengal,Abhishek Banerjee,168,147,94,47986591.0,0.0,326439.39455782314,0.56,0.0
lok_sabha,West Bengal,Abu Taher Khan,72,65,23,46378883.0,0.0,713521.276923077,0.319,0.0
lok_sabha,West Bengal,Adhikari Soumendu,21,19,13,28885084.0,0.0,1520267.5789473683,0.619,0.0
lok_sabha,West Bengal,Arup Chakraborty,50,50,27,83496667.0,0.0,1669933.34,0.54,0.0
lok_sabha,West Bengal,Asit Kumar Mal,172,146,105,193767254.0,0.0,1327172.9726027397,0.61,0.0
lok_sabha,West Bengal,Azad Kirti Jha,68,55,6,65043112.0,0.0,1182602.0363636364,0.088,0.0
lok_sabha,West Bengal,Bag Mitali,43,42,29,32103666.0,0.0,764373.0,0.674,0.0
lok_sabha,West Bengal,Bapi Haldar,105,85,57,36503383.0,0.0,429451.56470588234,0.543,0.0
lok_sabha,West Bengal,Deepak (Dev) Adhikari,26,16,14,33956704.0,0.0,2122294.0,0.538,0.0
lok_sabha,West Bengal,Isha Khan Choudhury,61,55,12,33026511.0,0.0,600482.0181818182,0.197,0.0
lok_sabha,West Bengal,Jagadish Chandra Barma Basunia,63,40,1,36933495.0,0.0,923337.375,0.016,0.0
lok_sabha,West Bengal,Jagannath Sarkar,160,115,56,57417589.0,0.0,499283.38260869565,0.35,0.0
lok_sabha,West Bengal,Jayanta Kumar Roy,15,14,1,22204482.0,0.0,1586034.4285714286,0.067,0.0
