transaction_id,canonical_work_id,official_work_id,parliament,source_dataset,source_row_id,vendor_name,ida_agency,work_status,transaction_amount,transaction_date,state,constituency,mp_name
TX_LO_000029,CW_LO_EXP_000029,WS/MP18239/2025-2026/214768,lok_sabha,expenditure,28,R G Supllier,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Payment In-Progress,36159.0,,Uttar Pradesh,SAMBHAL,Zia Ur Rehman
TX_LO_000030,CW_LO_EXP_000030,WS/MP18222/2025-2026/184472,lok_sabha,expenditure,29,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000031,CW_LO_EXP_000031,WS/MP18222/2025-2026/184544,lok_sabha,expenditure,30,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000032,CW_LO_EXP_000032,WS/MP18222/2025-2026/186923,lok_sabha,expenditure,31,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000033,CW_LO_EXP_000033,WS/MP18222/2025-2026/171412,lok_sabha,expenditure,32,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000034,CW_LO_EXP_000034,WS/MP18222/2025-2026/183819,lok_sabha,expenditure,33,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000035,CW_LO_EXP_000035,WS/MP18222/2025-2026/184028,lok_sabha,expenditure,34,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000036,CW_LO_EXP_000036,WS/MP18222/2025-2026/171499,lok_sabha,expenditure,35,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000037,CW_LO_EXP_000037,WS/MP18222/2025-2026/171497,lok_sabha,expenditure,36,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000038,CW_LO_EXP_000038,WS/MP18222/2025-2026/184243,lok_sabha,expenditure,37,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000039,CW_LO_EXP_000039,WS/MP18222/2025-2026/184254,lok_sabha,expenditure,38,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000040,CW_LO_EXP_000040,WS/MP18222/2025-2026/184255,lok_sabha,expenditure,39,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000041,CW_LO_EXP_000041,WS/MP18222/2025-2026/184305,lok_sabha,expenditure,40,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000042,CW_LO_EXP_000042,WS/MP18222/2025-2026/184282,lok_sabha,expenditure,41,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000043,CW_LO_EXP_000043,WS/MP18222/2025-2026/184280,lok_sabha,expenditure,42,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000044,CW_LO_EXP_000044,WS/MP18222/2025-2026/184264,lok_sabha,expenditure,43,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000045,CW_LO_EXP_000045,WS/MP18222/2025-2026/184266,lok_sabha,expenditure,44,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000046,CW_LO_EXP_000046,WS/MP18222/2025-2026/184279,lok_sabha,expenditure,45,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000047,CW_LO_EXP_000047,WS/MP18222/2025-2026/184239,lok_sabha,expenditure,46,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000048,CW_LO_EXP_000048,WS/MP18222/2025-2026/184234,lok_sabha,expenditure,47,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000049,CW_LO_EXP_000049,WS/MP18222/2025-2026/184031,lok_sabha,expenditure,48,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000050,CW_LO_EXP_000050,WS/MP18222/2025-2026/184088,lok_sabha,expenditure,49,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000051,CW_LO_EXP_000051,WS/MP18222/2025-2026/184034,lok_sabha,expenditure,50,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000052,CW_LO_EXP_000052,WS/MP18222/2025-2026/214321,lok_sabha,expenditure,51,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,18044.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000053,CW_LO_EXP_000053,WS/MP18222/2025-2026/214202,lok_sabha,expenditure,52,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,18044.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
