source_dataset,source_row_id,candidate_dataset,candidate_row_id,source_work,candidate_work,source_mp,candidate_mp,source_constituency,candidate_constituency,source_state,candidate_state,source_amount,candidate_amount,match_score,confidence_level,match_method,decision,review_status
completed,186,sanctioned,831,Construction of drain from Amit Mandal's house towards Umapado Mandal's house in village Gutuhatu of Panchayat Kanchi under Bundu block.,Construction of paver block path from Shri Israel Dhangha's house to Prem Lata Tiru's house and from Amit Kumar's house to PCC path in West Martin Bun,Kali Charan Munda,Kali Charan Munda,KHUNTI(ST),KHUNTI(ST),Jharkhand,Jharkhand,783000.0,400000.0,77.51,MEDIUM,fuzzy_multi_field,pending,requires_human_review
completed,521,sanctioned,122,Kabir uchya madhyamik (+2) vidyalay selra block Jaynagar men 2 set lab upkaran ka kray evam adhisthapan karya,Babunarhi prakhand ke antargat bhatchoura gram sthith sarvjanik mandir ke najdik high mask light ka adhisthapan karya,Ramprit Mandal,Ramprit Mandal,JHANJHARPUR,JHANJHARPUR,Bihar,Bihar,1096000.0,994000.0,78.81,MEDIUM,fuzzy_multi_field,pending,requires_human_review
completed,1436,sanctioned,344,"INSTALLATION OF HIGH MAST STREET LIGHT AT JAMNA MAEKET ROAD SIDE,UNDER LABHPUR BLOCK, EXCUTING AGENCY WILL BE EO LABHPUR PANCHYAT SAMITY.","CONSTRUCTION OF C C ROAD FROM ATAKULA LALU THANDER HOUSE TO AJOY NADBAD AT BHALUGRAM GP, EXCUTING AGENCY WILL BE E O MONGALKOTE PANCHYET SAMITY.",Asit Kumar Mal,Asit Kumar Mal,BOLPUR(SC),BOLPUR(SC),West Bengal,West Bengal,438556.0,355925.0,79.89,MEDIUM,fuzzy_multi_field,pending,requires_human_review
completed,1203,sanctioned,1466,"Construction of CC Road with Brick Soling from Saifuddin Molla's Shop to Ajijul's Shop,at Mulpunja. (300 mtr)",Construction of C C Road with Pilling from H/O Sk Jalal to H/O Sk Jahangir.(86 mtr),Abhishek Banerjee,Abhishek Banerjee,DIAMOND HARBOUR,DIAMOND HARBOUR,West Bengal,West Bengal,399987.0,393322.0,82.49,MEDIUM,fuzzy_multi_field,pending,requires_human_review
completed,258,sanctioned,833,Construction of library building near (Maktab) Madrasa in Khairantoli under Simdega block.,Construction of PCC and paver block path from Khunti Mahil Path to Lodro Gadha in village Ithe of Murhu Block.,Kali Charan Munda,Kali Charan Munda,KHUNTI(ST),KHUNTI(ST),Jharkhand,Jharkhand,750000.0,1200000.0,75.57,MEDIUM,fuzzy_multi_field,pending,requires_human_review
completed,942,sanctioned,802,Construction of PCC road in Hesahatu under Bhandra Panchayat.,Construction of shed near Karo River bridge at Ambapakna crematorium under Amma Panchayat.,Kali Charan Munda,Kali Charan Munda,KHUNTI(ST),KHUNTI(ST),Jharkhand,Jharkhand,800000.0,300000.0,79.81,MEDIUM,fuzzy_multi_field,pending,requires_human_review
completed,1125,sanctioned,1095,Construction of CC Road from H/O Pratap Shee to H/O Sanjoy Shee. (150 mtr),Construction of Road with Pilling At Parulia from H/O Debabrata Mondal to Stadium Ground ICDS School Via Parulia F.P. School. (116.68 mtr.),Abhishek Banerjee,Abhishek Banerjee,DIAMOND HARBOUR,DIAMOND HARBOUR,West Bengal,West Bengal,299999.0,299833.0,82.79,MEDIUM,fuzzy_multi_field,pending,requires_human_review
completed,1128,sanctioned,1102,Construction of CC Road with Brick Soling from H/O Ashis Sardar to H/O Kachari Sardar. (120 mtr),Construction of CC Road from H/O Monoronjon Mondal to Gogon Koyila More at Paschim Khordonalha (Booth No 63). (194 mtr.),Abhishek Banerjee,Abhishek Banerjee,DIAMOND HARBOUR,DIAMOND HARBOUR,West Bengal,West Bengal,200000.0,448824.0,76.76,MEDIUM,fuzzy_multi_field,pending,requires_human_review
completed,945,sanctioned,286,Construction of Building (Second Floor) for Aduthala Tagore Memorial Library in Chathanoor Constituency,Construction of Reading room High Range Arts and Sports Club Kulathupuzha GP in Anchal BP,Nk Premachandran,Nk Premachandran,KOLLAM,KOLLAM,Kerala,Kerala,512291.0,1000000.0,73.17,MEDIUM,fuzzy_multi_field,pending,requires_human_review
completed,1194,sanctioned,1106,Construction of CC Road from H/O Pradyut Chowdhury to H/O Arun Chowdhury. (300 mtr),Construction of drain with cover slap from H/O Hanif Sk to H/O Akbar Sk at Ramrampur within Ward No.1 (60 mtr),Abhishek Banerjee,Abhishek Banerjee,DIAMOND HARBOUR,DIAMOND HARBOUR,West Bengal,West Bengal,400000.0,154554.0,75.6,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,889,recommended,1184,Construction of boundary walls of existing public and community buildings,Construction of boundary wall with fencing at Langbungdingpi Graveyard,Amarsing Tisso,Amarsing Tisso,Diphu (ST),Diphu (ST),Assam,Assam,77000.0,1000000.0,74.91,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,290,recommended,745,Construction of community centers and community halls,Construction of drain water,Malvinder Singh Kang,Malvinder Singh Kang,ANANDPUR SAHIB,ANANDPUR SAHIB,Punjab,Punjab,48300.0,2000000.0,71.39,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,889,recommended,1135,Construction of boundary walls of existing public and community buildings,Construction of open stage infront of Siloni LP School,Amarsing Tisso,Amarsing Tisso,Diphu (ST),Diphu (ST),Assam,Assam,77000.0,800000.0,71.62,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,528,recommended,742,"Construction of roads, link roads, pathways or any other road with or without drainage system",construction of mask light near shiv mandir of balutunda village of balutunda panchayat.,Chandra Prakash Choudhary,Chandra Prakash Choudhary,GIRIDIH,GIRIDIH,Jharkhand,Jharkhand,399490.0,150000.0,72.48,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,528,recommended,723,"Construction of roads, link roads, pathways or any other road with or without drainage system",construction of mask light near bajrangbali mandir of samda village of cheeno panchayat.,Chandra Prakash Choudhary,Chandra Prakash Choudhary,GIRIDIH,GIRIDIH,Jharkhand,Jharkhand,399490.0,150000.0,72.48,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,770,recommended,204,Construction of water tanks,Construction of cycle stand.,Kamlesh Jangde,Kamlesh Jangde,JANJGIR CHAMPA(SC),JANJGIR CHAMPA(SC),Chhattisgarh,Chhattisgarh,150000.0,500000.0,82.56,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,1220,recommended,891,Lighting of public spaces,Construction of PCC Road,Vijaylakshmi Devi,Vijaylakshmi Devi,SIWAN,SIWAN,Bihar,Bihar,962500.0,1488744.0,75.71,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,889,recommended,1146,Construction of boundary walls of existing public and community buildings,"Construction of ringwell near the house of Smt Rengka Teronpi, Manja College",Amarsing Tisso,Amarsing Tisso,Diphu (ST),Diphu (ST),Assam,Assam,77000.0,300000.0,71.51,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,528,recommended,753,"Construction of roads, link roads, pathways or any other road with or without drainage system",construction of mask light near club bhawan of karmatungri village of lohedih panchayat.,Chandra Prakash Choudhary,Chandra Prakash Choudhary,GIRIDIH,GIRIDIH,Jharkhand,Jharkhand,399490.0,150000.0,73.3,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,551,recommended,743,Construction of public staircase/ stair ghat for public convenience,construction of mask light near bikhnidih mandir of pipradih village of poraiya panchayat.,Chandra Prakash Choudhary,Chandra Prakash Choudhary,GIRIDIH,GIRIDIH,Jharkhand,Jharkhand,349924.0,150000.0,73.16,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,1301,recommended,191,Construction of community centers and community halls,Const. of Chabutra Kadyan Khop and Repair of Boundry wall in Gram Panchayat Chimni,Deepender Singh Hooda,Deepender Singh Hooda,ROHTAK,ROHTAK,Haryana,Haryana,80079.0,493629.0,69.2,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,1222,recommended,891,Lighting of public spaces,Construction of PCC Road,Vijaylakshmi Devi,Vijaylakshmi Devi,SIWAN,SIWAN,Bihar,Bihar,962500.0,1488744.0,75.71,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,289,recommended,820,Construction of community centers and community halls,Construction of community center at village Takhatgarh,Malvinder Singh Kang,Malvinder Singh Kang,ANANDPUR SAHIB,ANANDPUR SAHIB,Punjab,Punjab,49700.0,700000.0,80.55,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,1221,recommended,889,Lighting of public spaces,Construction of PCC Road.,Vijaylakshmi Devi,Vijaylakshmi Devi,SIWAN,SIWAN,Bihar,Bihar,962500.0,990783.0,79.62,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,848,recommended,1028,Installing community drinking water plants,Installation of RO System At Govt. Sen. Sec. (Girls) School Mamdot (Capacity 500 Ltrs),Sher Singh Ghubaya,Sher Singh Ghubaya,FIROZPUR,FIROZPUR,Punjab,Punjab,232626.0,232767.0,77.59,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,1219,recommended,892,Lighting of public spaces,PCC Construction of the Road.,Vijaylakshmi Devi,Vijaylakshmi Devi,SIWAN,SIWAN,Bihar,Bihar,962500.0,998018.0,79.67,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,768,recommended,14,Construction of buildings for community cultural activities,Construction of Community Hall at Ayahatti Village Near Beereshwar Temple Pry No 34,Pralhad Venkatesh Joshi,Pralhad Venkatesh Joshi,DHARWAD,DHARWAD,Karnataka,Karnataka,498497.0,498091.0,82.06,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,1223,recommended,888,Lighting of public spaces,PCC construction of the road.,Vijaylakshmi Devi,Vijaylakshmi Devi,SIWAN,SIWAN,Bihar,Bihar,962500.0,989155.0,79.78,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,1214,recommended,340,Purchase of mobile water tankers,Purchase of Mobile Water tanker Capacity 3000 Ltrs.at Village Chak Bur Wala,Sher Singh Ghubaya,Sher Singh Ghubaya,FIROZPUR,FIROZPUR,Punjab,Punjab,240619.0,241056.0,83.62,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,762,recommended,1028,Installing community drinking water plants,Installation of RO System At Govt. Sen. Sec. (Girls) School Mamdot (Capacity 500 Ltrs),Sher Singh Ghubaya,Sher Singh Ghubaya,FIROZPUR,FIROZPUR,Punjab,Punjab,232838.0,232767.0,77.6,MEDIUM,fuzzy_multi_field,pending,requires_human_review
expenditure,1299,recommended,191,Construction of community centers and community halls,Const. of Chabutra Kadyan Khop and Repair of Boundry wall in Gram Panchayat Chimni,Deepender Singh Hooda,Deepender Singh Hooda,ROHTAK,ROHTAK,Haryana,Haryana,60104.0,493629.0,69.06,MEDIUM,fuzzy_multi_field,pending,requires_human_review
