work_id,recommendation_date,recommended_amount,raw_additional_status
WS/MP019/2023-2024/47530-Installing community drinking water plants,08-Nov-2023,488490.56,23-Feb-2024
WS/MP019/2023-2024/47531-Installing community drinking water plants,08-Nov-2023,485545.46,23-Feb-2024
WS/MP019/2023-2024/47532-Installing community drinking water plants,08-Nov-2023,119001.0,23-Feb-2024
WS/MP019/2023-2024/47533-Lighting of public spaces,08-Nov-2023,700000.0,23-Feb-2024
WS/MP019/2023-2024/47534-Lighting of public spaces,08-Nov-2023,119001.0,23-Feb-2024
WS/MP019/2023-2024/47557-Lighting of public spaces,08-Nov-2023,119001.0,23-Feb-2024
WS/MP019/2023-2024/47558-Lighting of public spaces,08-Nov-2023,119001.0,23-Feb-2024
"WS/MP019/2023-2024/47559-Construction of roads, link roads, pathways or any other road with or without drainage system",08-Nov-2023,1000000.0,23-Feb-2024
WS/MP019/2023-2024/47560-Installing community drinking water plants,08-Nov-2023,491389.0,23-Feb-2024
WS/MP019/2023-2024/47561-Construction of culverts and bridges,08-Nov-2023,1000000.0,23-Feb-2024
WS/MP019/2023-2024/47568-Lighting of public spaces,08-Nov-2023,700000.0,23-Feb-2024
WS/MP019/2023-2024/47569-Lighting of public spaces,08-Nov-2023,119000.66,23-Feb-2024
WS/MP019/2023-2024/47575-Lighting of public spaces,08-Nov-2023,119000.66,23-Feb-2024
WS/MP019/2023-2024/47576-Lighting of public spaces,08-Nov-2023,119000.66,23-Feb-2024
WS/MP019/2023-2024/47577-Lighting of public spaces,08-Nov-2023,119000.88,23-Feb-2024
WS/MP019/2023-2024/47578-Lighting of public spaces,08-Nov-2023,119000.66,23-Feb-2024
WS/MP019/2023-2024/47579-Lighting of public spaces,08-Nov-2023,700000.0,23-Feb-2024
WS/MP019/2023-2024/47593-Providing drains and gutters for public drainage,08-Nov-2023,1000000.0,23-Feb-2024
WS/MP019/2023-2024/47594-Lighting of public spaces,08-Nov-2023,698429.0,23-Feb-2024
WS/MP019/2023-2024/47595-Lighting of public spaces,08-Nov-2023,698429.0,23-Feb-2024
WS/MP019/2023-2024/47596-Lighting of public spaces,08-Nov-2023,700000.0,23-Feb-2024
"WS/MP019/2023-2024/47597-Construction of roads, link roads, pathways or any other road with or without drainage system",08-Nov-2023,2000000.0,22-Feb-2024
WS/MP196/2023-2024/47938-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,25000.0,12-Feb-2024
WS/MP196/2023-2024/47941-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,25000.0,12-Feb-2024
WS/MP196/2023-2024/47942-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,25000.0,12-Feb-2024
WS/MP196/2023-2024/47943-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,25000.0,12-Feb-2024
WS/MP196/2023-2024/47958-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,25000.0,12-Feb-2024
WS/MP196/2023-2024/47959-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,25000.0,12-Feb-2024
WS/MP196/2023-2024/47960-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,25000.0,12-Feb-2024
WS/MP196/2023-2024/47961-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,25000.0,12-Feb-2024
WS/MP196/2023-2024/47962-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,25000.0,12-Feb-2024
WS/MP196/2023-2024/47963-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,25000.0,12-Feb-2024
WS/MP196/2023-2024/47964-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,25000.0,12-Feb-2024
WS/MP196/2023-2024/47965-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,25000.0,12-Feb-2024
WS/MP196/2023-2024/47970-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,25000.0,12-Feb-2024
WS/MP196/2023-2024/47971-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,25000.0,12-Feb-2024
WS/MP196/2023-2024/47972-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,25000.0,12-Feb-2024
WS/MP196/2023-2024/47974-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,25000.0,12-Feb-2024
WS/MP196/2023-2024/47975-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,25000.0,12-Feb-2024
WS/MP196/2023-2024/47976-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,25000.0,12-Feb-2024
WS/MP196/2023-2024/47977-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,25000.0,12-Feb-2024
WS/MP196/2023-2024/47980-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,25000.0,12-Feb-2024
WS/MP196/2023-2024/47981-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,25000.0,12-Feb-2024
WS/MP196/2023-2024/47982-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,25000.0,12-Feb-2024
WS/MP196/2023-2024/47983-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,25000.0,12-Feb-2024
WS/MP196/2023-2024/47984-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,25000.0,12-Feb-2024
WS/MP196/2023-2024/47985-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,25000.0,12-Feb-2024
WS/MP196/2023-2024/47990-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,25000.0,12-Feb-2024
WS/MP196/2023-2024/47991-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,25000.0,12-Feb-2024
WS/MP196/2023-2024/47992-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,25000.0,12-Feb-2024
WS/MP196/2023-2024/47993-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,25000.0,12-Feb-2024
WS/MP196/2023-2024/48004-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,12-Feb-2024
WS/MP196/2023-2024/48005-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,12-Feb-2024
WS/MP196/2023-2024/48006-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48007-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48008-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,12-Feb-2024
WS/MP196/2023-2024/48009-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,12-Feb-2024
WS/MP196/2023-2024/48010-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48011-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48012-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48013-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48014-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48015-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48016-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48017-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48018-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48019-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48020-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48021-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48022-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48023-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48024-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48025-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48026-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48027-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48028-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48029-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48030-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48031-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48032-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48033-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48034-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48035-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48036-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48037-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48038-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48040-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48041-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48042-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48043-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48075-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48076-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48077-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48078-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48079-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48088-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48089-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48090-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
WS/MP196/2023-2024/48091-Purchase of books and periodicals for libraries/digitization of library books,09-Nov-2023,10000.0,06-Feb-2024
