ida_id,canonical_name,normalized_name,agency_type,created_at
IDA_000427,KOLHAPUR(DISTRICT COLLECTOR KOLHAPUR_IDA),kolhapurdistrict collector kolhapurida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257449
IDA_000428,SATARA(DISTRICT COLLECTOR SATARA_IDA),sataradistrict collector sataraida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257454
IDA_000429,KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA),kathuadistrict development commissioner kathuaida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257459
IDA_000430,MATHURA(DISTRICT MAGISTRAE MATHURA_IDA),mathuradistrict magistrae mathuraida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257464
IDA_000431,AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA),ayodhyadistrict magistrae faizabadida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257470
IDA_000432,ERODE(DISTRICT_COLLECTORE_ERODE_IDA),erodedistrictcollectoreerodeida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257476
IDA_000433,PORBANDAR(DISTRICT COLLECTOR PORBANDAR_IDA),porbandardistrict collector porbandarida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257482
IDA_000434,KARUR(DISTRICT COLLECTOR KARUR_IDA),karurdistrict collector karurida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257488
IDA_000435,KOTA(DISTRICT COLLECTOR KOTA_IDA),kotadistrict collector kotaida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257493
IDA_000436,GUNA(DISTRICT COLLECTOR GUNA_IDA),gunadistrict collector gunaida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257500
IDA_000437,BHAGALPUR(DISTRICT PLANNING OFFICER BHAGALPUR_IDA),bhagalpurdistrict planning officer bhagalpurida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257506
IDA_000438,NEEMUCH(DISTRICT COLLECTOR NEEMUCH_IDA),neemuchdistrict collector neemuchida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257512
IDA_000439,BALAGHAT(DISTRICT COLLECTOR BALAGHAT_IDA),balaghatdistrict collector balaghatida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257518
IDA_000440,MAHASAMUND(DISTRICT COLLECTOR MAHASAMUND_IDA),mahasamunddistrict collector mahasamundida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257523
IDA_000441,KHOWAI(DISTRICT MAGISTRATE AND COLLECTOR  KHOWAI_IDA),khowaidistrict magistrate and collector khowaiida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257530
IDA_000442,FATEHPUR(DISTRICT MAGISTRATE FATEHPUR_IDA),fatehpurdistrict magistrate fatehpurida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257535
IDA_000443,WAYANAD(DISTRICT COLLECTOR WAYANAD_IDA),wayanaddistrict collector wayanadida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257541
IDA_000444,JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),janjgirchampadistrict collector janjgir champaida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257546
IDA_000445,SALEM(DISTRICT COLLECTOR SALEM_IDA),salemdistrict collector salemida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257552
IDA_000446,KASARAGOD(DISTRICT COLLECTOR KASARAGOD_IDA),kasaragoddistrict collector kasaragodida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257557
IDA_000447,DAHOD(DISTRICT COLLECTOR DOHAD_IDA),dahoddistrict collector dohadida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257563
IDA_000448,WEST KHASI HILLS(DEPUTY COMMISSIONER WEST KHASI HILLS NONGSTOIN_IDA),west khasi hillsdeputy commissioner west khasi hills nongstoinida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257569
IDA_000449,PANNA(DISTRICT COLLECTOR PANNA_IDA),pannadistrict collector pannaida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257574
IDA_000450,CHAMOLI(DM CHAMOLI_IDA),chamolidm chamoliida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257580
IDA_000451,WANAPARTHY(DISTRICT COLLECTOR WANAPARTHY_IDA),wanaparthydistrict collector wanaparthyida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257585
IDA_000452,BHARUCH(DISTRICT COLLECTOR BROACH_IDA),bharuchdistrict collector broachida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257592
IDA_000453,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),sidhidistrict collector sidhiida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257597
IDA_000454,KOREA(COLLECTOR KOREA_IDA),koreacollector koreaida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257603
IDA_000455,BANKURA(DISTRICT MAGISTRATE BANKURA_IDA),bankuradistrict magistrate bankuraida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257610
IDA_000456,GOLAGHAT(DEPUTY COMMISSIONER GOLAGHAT_IDA),golaghatdeputy commissioner golaghatida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257616
IDA_000457,BALODABAZAR-BHATAPARA(COLLECTOR BALODA BAZAR_IDA),balodabazarbhataparacollector baloda bazarida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257625
IDA_000458,BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA),bhilwaradistrict collector bhilwaraida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257637
IDA_000459,ARVALLI(DISTRICT COLLECTOR ARVALLI_IDA),arvallidistrict collector arvalliida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257642
IDA_000460,PANDHURNA(DISTRICT COLLECTOR PANDHURNA_IDA),pandhurnadistrict collector pandhurnaida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257648
IDA_000461,JAJPUR(DISTRICT COLLECTOR JAJPUR_IDA),jajpurdistrict collector jajpurida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257653
IDA_000462,BARAMULLA(DEPUTY COMMISSIONER BARAMULLAH_IDA),baramulladeputy commissioner baramullahida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257660
IDA_000463,CHITRAKOOT(DISTRICT MAGISTRATE CHITRAKOOT_IDA),chitrakootdistrict magistrate chitrakootida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257666
IDA_000464,SAMASTIPUR(DISTRICT PLANNING OFFICER SAMASTIPUR_IDA),samastipurdistrict planning officer samastipurida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257671
IDA_000465,HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA),hyderabaddistrict collector hyderabadida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257676
IDA_000466,BIKANER(DISTRICT COLLECTOR BIKANER_IDA),bikanerdistrict collector bikanerida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257682
IDA_000467,PASCHIM BARDHAMAN(DISTRICT MAGISTRATE PASCHIM BARDHAMAN_IDA),paschim bardhamandistrict magistrate paschim bardhamanida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257688
IDA_000468,LALITPUR(DISTRICT MAGISTRATE LALITPUR_IDA),lalitpurdistrict magistrate lalitpurida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257693
IDA_000469,GOALPARA(DEPUTY COMMISSIONER GOALPARA_IDA),goalparadeputy commissioner goalparaida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257698
IDA_000470,NTR(DISTRICT COLLECTOR NTR_IDA),ntrdistrict collector ntrida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257703
IDA_000471,RAIGARH(DISTRICT COLLECTOR RAIGARH_IDA),raigarhdistrict collector raigarhida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257709
IDA_000472,BALLARI(DEPUTY COMMISSIONER BELLARY_IDA),ballarideputy commissioner bellaryida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257714
IDA_000473,BEAWAR(DISTRICT COLLECTOR BEAWAR_IDA),beawardistrict collector beawarida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257719
IDA_000474,THENI(DISTRICT COLLECTOR THENI_5),thenidistrict collector theni5,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257724
IDA_000475,ALLURI SITHARAMA RAJU(DISTRICT COLLECTOR ALLURI SITHARAMARAJU_IDA),alluri sitharama rajudistrict collector alluri sitharamarajuida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.257730
