source_house,source_file,source_row_number,sr_no,state,work,work_id,ida,honble_members_of_parliament,elected/nominated,expenditure_date,vendor_name,payment_status,fund_disbursed_amount_₹
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11388,11387,Uttar Pradesh,Installation of multi-gym equipment,WS/MP202/2025-2026/199017,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,2025-08-08,JAYA SRI INDUSTRIES,Payment Success,653980.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11389,11388,Uttar Pradesh,Installation of multi-gym equipment,WS/MP202/2025-2026/199050,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,2025-08-08,JAYA SRI INDUSTRIES,Payment Success,653980.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11390,11389,Uttar Pradesh,Installation of multi-gym equipment,WS/MP202/2025-2026/199075,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,2025-08-08,JAYA SRI INDUSTRIES,Payment Success,653980.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11391,11390,Uttar Pradesh,Installation of multi-gym equipment,WS/MP202/2025-2026/199070,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,2025-08-08,JAYA SRI INDUSTRIES,Payment Success,653980.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11392,11391,Uttar Pradesh,Installation of multi-gym equipment,WS/MP202/2025-2026/199019,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,2025-08-08,JAYA SRI INDUSTRIES,Payment Success,653980.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11393,11392,Uttar Pradesh,Installation of multi-gym equipment,WS/MP202/2025-2026/199073,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,2025-08-08,JAYA SRI INDUSTRIES,Payment Success,653980.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11394,11393,Uttar Pradesh,Installation of multi-gym equipment,WS/MP202/2025-2026/199041,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,2025-08-08,JAYA SRI INDUSTRIES,Payment Success,653980.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11395,11394,Uttar Pradesh,Installation of multi-gym equipment,WS/MP202/2025-2026/199069,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,2025-08-07,JAYA SRI INDUSTRIES,Payment Success,653980.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11396,11395,Uttar Pradesh,Installation of multi-gym equipment,WS/MP202/2025-2026/199062,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,2025-08-07,JAYA SRI INDUSTRIES,Payment Success,653980.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11397,11396,Uttar Pradesh,Installation of multi-gym equipment,WS/MP202/2025-2026/199066,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,2025-08-07,JAYA SRI INDUSTRIES,Payment Success,653980.0
