source_house,source_file,source_row_number,sr_no,work_category,work,state,ida,work_description,honble_members_of_parliament,elected/nominated,image,completion_date,amount_disbursed_₹,raw_completion_date,raw_amount_disbursed_₹,completed_disbursed_amount_inr,raw_work_category,canonical_work_category,raw_state,canonical_state,canonical_state_id,raw_constituency,canonical_constituency,canonical_constituency_id,raw_ida,canonical_ida,canonical_authority_id,raw_mp_name,canonical_mp_name,canonical_mp_id,canonical_work_id,financial_year
RAJYA_SABHA,Works Completed (8).csv,6370,6369,Normal/Others,"WS/MP163/2024-2025/136110-Construction of roads, link roads, pathways or any other road with or without drainage system",Tamil Nadu,MADURAI(DISTRICT COLLECTOR MADURAI_IDA),"Providing Bituminous Macadam road at 4th street in  Nethaji Nagar, Arumbanur Village, Madurai District",Shri R. Girirajan (2022-28) (NaN-NaN),Elected MP,,2025-07-25,996322.0,2025-07-25,996322.0,996322.0,Normal/Others,OTHER_WORKS,Tamil Nadu,TAMIL NADU,STATE_TAMIL_NADU,Elected MP,ELECTED MP,NOM_ELECTED_MP,MADURAI(DISTRICT COLLECTOR MADURAI_IDA),MADURAI(DISTRICT COLLECTOR MADURAI_IDA),IDA_MADURAI_DISTRICT_COLLECTOR_MADURAI_IDA_,Shri R. Girirajan (2022-28) (NaN-NaN),R. GIRIRAJAN (2022-28) (NAN-NAN),MP_RAJYA_SABHA_R__GIRIRAJAN__2022_28___NAN_NAN_,WORK_HASH_12775542675202409843,UNKNOWN_FY
RAJYA_SABHA,Works Completed (8).csv,6371,6370,Normal/Others,WS/MP18362/2025-2026/206183-Providing CCTV camera system for security of public areas,Madhya Pradesh,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),as attached letter,Shri Banshilal Gurjar (2024-30) (NaN-NaN),Elected MP,Images,2026-08-09,2195000.0,2026-08-09,2195000.0,2195000.0,Normal/Others,OTHER_WORKS,Madhya Pradesh,MADHYA PRADESH,STATE_MADHYA_PRADESH,Elected MP,ELECTED MP,NOM_ELECTED_MP,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),IDA_MANDSAUR_DISTRICT_COLLECTOR_MANDSAUR_IDA_,Shri Banshilal Gurjar (2024-30) (NaN-NaN),BANSHILAL GURJAR (2024-30) (NAN-NAN),MP_RAJYA_SABHA_BANSHILAL_GURJAR__2024_30___NAN_NAN_,WORK_HASH_10813503734539536747,UNKNOWN_FY
RAJYA_SABHA,Works Completed (8).csv,6372,6371,Normal/Others,WS/MP18285/2024-2025/145261-Construction of public libraries and reading rooms,Rajasthan,JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA),"public reading room construction work (Public reading room construction work, Raghuveer Singh's residence village Mandha)",Shri Chunnilal Garasiya (2024-30) (NaN-NaN),Elected MP,Images,2025-07-29,500000.0,2025-07-29,500000.0,500000.0,Normal/Others,OTHER_WORKS,Rajasthan,RAJASTHAN,STATE_RAJASTHAN,Elected MP,ELECTED MP,NOM_ELECTED_MP,JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA),JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA),IDA_JAISALMER_DISTRICT_COLLECTOR_JAISLAMER_IDA_,Shri Chunnilal Garasiya (2024-30) (NaN-NaN),CHUNNILAL GARASIYA (2024-30) (NAN-NAN),MP_RAJYA_SABHA_CHUNNILAL_GARASIYA__2024_30___NAN_NAN_,WORK_HASH_6679921360659377051,UNKNOWN_FY
RAJYA_SABHA,Works Completed (8).csv,6373,6372,Normal/Others,WS/MP18282/2025-2026/150017-Providing drains and gutters for public drainage,Sikkim,Pakyong(DISTRICT COLLECTOR PAKYONG_IDA),Construction of Gutter System at Primary Health Center,Shri Dorjee Tshering Lepcha (2024-30) (NaN-NaN),Elected MP,,2025-07-25,393557.0,2025-07-25,393557.0,393557.0,Normal/Others,OTHER_WORKS,Sikkim,SIKKIM,STATE_SIKKIM,Elected MP,ELECTED MP,NOM_ELECTED_MP,Pakyong(DISTRICT COLLECTOR PAKYONG_IDA),PAKYONG(DISTRICT COLLECTOR PAKYONG_IDA),IDA_PAKYONG_DISTRICT_COLLECTOR_PAKYONG_IDA_,Shri Dorjee Tshering Lepcha (2024-30) (NaN-NaN),DORJEE TSHERING LEPCHA (2024-30) (NAN-NAN),MP_RAJYA_SABHA_DORJEE_TSHERING_LEPCHA__2024_30___NAN_NAN_,WORK_HASH_4392647987625693423,UNKNOWN_FY
RAJYA_SABHA,Works Completed (8).csv,6374,6373,Normal/Others,WS/MP18385/2025-2026/199239-Establishing public ground water recharging facilities,Jharkhand,GIRIDIH(Deputy Commissioner Giridh_IDA),Construction of pond in Phuchcho Tola Pratappur village under Chapuwadih Panchayat in Bengabad block.,Dr. Sarfraz Ahmad (2024-30) (NaN-NaN),Elected MP,,2026-02-14,996397.0,2026-02-14,996397.0,996397.0,Normal/Others,OTHER_WORKS,Jharkhand,JHARKHAND,STATE_JHARKHAND,Elected MP,ELECTED MP,NOM_ELECTED_MP,GIRIDIH(Deputy Commissioner Giridh_IDA),GIRIDIH(DEPUTY COMMISSIONER GIRIDH_IDA),IDA_GIRIDIH_DEPUTY_COMMISSIONER_GIRIDH_IDA_,Dr. Sarfraz Ahmad (2024-30) (NaN-NaN),SARFRAZ AHMAD (2024-30) (NAN-NAN),MP_RAJYA_SABHA_SARFRAZ_AHMAD__2024_30___NAN_NAN_,WORK_HASH_13476547004821581551,UNKNOWN_FY
RAJYA_SABHA,Works Completed (8).csv,6375,6374,Normal/Others,WS/MP878/2024-2025/184466-Lighting of public spaces,Delhi,CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT)),"Provision of lighting arrangements with 4m decorative poles at Shiv Chowk to 6-Block T-Point, South Patel Nagar Under Karol Bagh Zone.",Shri Sanjay Singh (2024-30) (NaN-NaN),Elected MP,Images,2025-07-25,797663.0,2025-07-25,797663.0,797663.0,Normal/Others,OTHER_WORKS,Delhi,DELHI,STATE_DELHI,Elected MP,ELECTED MP,NOM_ELECTED_MP,CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT)),CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT)),IDA_CENTRAL_COMMISSIONER_MCD__CENTRAL_DISTRICT__,Shri Sanjay Singh (2024-30) (NaN-NaN),SANJAY SINGH (2024-30) (NAN-NAN),MP_RAJYA_SABHA_SANJAY_SINGH__2024_30___NAN_NAN_,WORK_HASH_10816704335195336365,UNKNOWN_FY
RAJYA_SABHA,Works Completed (8).csv,6376,6375,Normal/Others,"WS/MP102/2024-2025/143812-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA),"Construction of Kandothkuni - Post Office Road (Concrete), Ward XIII, Narippatta Grama Panchayath",Smt. Jebi Mather Hisham (2022-28) (NaN-NaN),Elected MP,,2025-07-30,1516587.0,2025-07-30,1516587.0,1516587.0,Normal/Others,OTHER_WORKS,Kerala,KERALA,STATE_KERALA,Elected MP,ELECTED MP,NOM_ELECTED_MP,KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA),KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA),IDA_KOZHIKODE_DISTRICT_COLLECTOR_KOZHIKODE_IDA_,Smt. Jebi Mather Hisham (2022-28) (NaN-NaN),SMT. JEBI MATHER HISHAM (2022-28) (NAN-NAN),MP_RAJYA_SABHA_SMT__JEBI_MATHER_HISHAM__2022_28___NAN_NAN_,WORK_HASH_5047647137359484263,UNKNOWN_FY
RAJYA_SABHA,Works Completed (8).csv,6377,6376,Normal/Others,WS/MP18383/2025-2026/177017-Construction of rooms and halls in school and colleges,West Bengal,Jhargram(DISTRICT MAGISTRATE JHARGRAM_IDA),"Construction of 4 Class room at Saria Tribal High School,PO-Saria under development block Gopiballavpur-I,Jhargram,West Bengal-721506",Shri Samik Bhattacharya (2024-30) (NaN-NaN),Elected MP,Images,2026-07-23,3000000.0,2026-07-23,3000000.0,3000000.0,Normal/Others,OTHER_WORKS,West Bengal,WEST BENGAL,STATE_WEST_BENGAL,Elected MP,ELECTED MP,NOM_ELECTED_MP,Jhargram(DISTRICT MAGISTRATE JHARGRAM_IDA),JHARGRAM(DISTRICT MAGISTRATE JHARGRAM_IDA),IDA_JHARGRAM_DISTRICT_MAGISTRATE_JHARGRAM_IDA_,Shri Samik Bhattacharya (2024-30) (NaN-NaN),SAMIK BHATTACHARYA (2024-30) (NAN-NAN),MP_RAJYA_SABHA_SAMIK_BHATTACHARYA__2024_30___NAN_NAN_,WORK_HASH_7157119087018704125,UNKNOWN_FY
RAJYA_SABHA,Works Completed (8).csv,6378,6377,Normal/Others,"WS/MP18292/2025-2026/164082-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,NANDED(DISTRICT COLLECTOR NANDED_IDA),Construction of CC Road from the house of Shyam Jainer to the house of Subhash Patil Chalwade of village Tamlur Tq. Deglur Dist. Nanded,Dr. Ajeet Madhavrao Gopchade (2024-30) (NaN-NaN),Elected MP,Images,2025-07-25,992140.0,2025-07-25,992140.0,992140.0,Normal/Others,OTHER_WORKS,Maharashtra,MAHARASHTRA,STATE_MAHARASHTRA,Elected MP,ELECTED MP,NOM_ELECTED_MP,NANDED(DISTRICT COLLECTOR NANDED_IDA),NANDED(DISTRICT COLLECTOR NANDED_IDA),IDA_NANDED_DISTRICT_COLLECTOR_NANDED_IDA_,Dr. Ajeet Madhavrao Gopchade (2024-30) (NaN-NaN),AJEET MADHAVRAO GOPCHADE (2024-30) (NAN-NAN),MP_RAJYA_SABHA_AJEET_MADHAVRAO_GOPCHADE__2024_30___NAN_NAN_,WORK_HASH_5307096254944721557,UNKNOWN_FY
RAJYA_SABHA,Works Completed (8).csv,6379,6378,Repair and Renovation,"WS/MP140/2025-2026/192791-Construction of roads, link roads, pathways or any other road with or without drainage system",Punjab,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),Repair of Link road from Hariana Shamchurasi Kathar to Dera Baba Lakhwinder Singh Ji. Length of Road 0.2km (PWD),Shri Sant Balbir Singh (2022-28) (NaN-NaN),Elected MP,Images,2025-07-25,289071.0,2025-07-25,289071.0,289071.0,Repair and Renovation,OTHER_WORKS,Punjab,PUNJAB,STATE_PUNJAB,Elected MP,ELECTED MP,NOM_ELECTED_MP,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),IDA_HOSHIARPUR_DEPUTY_COMMISSIONER_HOSHIARPUR_IDA_,Shri Sant Balbir Singh (2022-28) (NaN-NaN),SANT BALBIR SINGH (2022-28) (NAN-NAN),MP_RAJYA_SABHA_SANT_BALBIR_SINGH__2022_28___NAN_NAN_,WORK_HASH_13975834634941274781,UNKNOWN_FY
RAJYA_SABHA,Works Completed (8).csv,6380,6379,Normal/Others,"WS/MP200/2024-2025/168978-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA),The CC road distance is about 86 meters from the house of Shri Mahipal Singh to the house of Shri Ravindra Singh in Majra Kamal of Gram Sabha Rui Sinaura in Tehsil Bhogaon Block Sultanganj of Mainpuri district.,Smt. Jaya Amitabh Bachchan (2024-30) (NaN-NaN),Elected MP,,2026-02-13,522240.0,2026-02-13,522240.0,522240.0,Normal/Others,OTHER_WORKS,Uttar Pradesh,UTTAR PRADESH,STATE_UTTAR_PRADESH,Elected MP,ELECTED MP,NOM_ELECTED_MP,MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA),MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA),IDA_MAINPURI_DISTRICT_MAGISTRATE_MAINPURI_IDA_,Smt. Jaya Amitabh Bachchan (2024-30) (NaN-NaN),SMT. JAYA AMITABH BACHCHAN (2024-30) (NAN-NAN),MP_RAJYA_SABHA_SMT__JAYA_AMITABH_BACHCHAN__2024_30___NAN_NAN_,WORK_HASH_11365664018213339299,UNKNOWN_FY
RAJYA_SABHA,Works Completed (8).csv,6381,6380,Normal/Others,WS/MP019/2025-2026/194970-Lighting of public spaces,Uttar Pradesh,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),Work of installation of solar high mast light near the house of Kanti Kumar in village Poppy of development block Karma,Shri Hardeep Singh Puri (2020-26) (NaN-NaN),Elected MP,Images,2025-12-01,107939.0,2025-12-01,107939.0,107939.0,Normal/Others,OTHER_WORKS,Uttar Pradesh,UTTAR PRADESH,STATE_UTTAR_PRADESH,Elected MP,ELECTED MP,NOM_ELECTED_MP,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),IDA_SONBHADRA_DISTRICT_MAGISTRATE_SONBHADRA_IDA_,Shri Hardeep Singh Puri (2020-26) (NaN-NaN),HARDEEP SINGH PURI (2020-26) (NAN-NAN),MP_RAJYA_SABHA_HARDEEP_SINGH_PURI__2020_26___NAN_NAN_,WORK_HASH_15230235834135502913,UNKNOWN_FY
RAJYA_SABHA,Works Completed (8).csv,6382,6381,Normal/Others,WS/MP019/2025-2026/194969-Lighting of public spaces,Uttar Pradesh,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),Work of installation of a solar high mast light near Rani ji house behind the RED office in Urmaura village of Robertsganj development block,Shri Hardeep Singh Puri (2020-26) (NaN-NaN),Elected MP,Images,2025-12-01,107939.0,2025-12-01,107939.0,107939.0,Normal/Others,OTHER_WORKS,Uttar Pradesh,UTTAR PRADESH,STATE_UTTAR_PRADESH,Elected MP,ELECTED MP,NOM_ELECTED_MP,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),IDA_SONBHADRA_DISTRICT_MAGISTRATE_SONBHADRA_IDA_,Shri Hardeep Singh Puri (2020-26) (NaN-NaN),HARDEEP SINGH PURI (2020-26) (NAN-NAN),MP_RAJYA_SABHA_HARDEEP_SINGH_PURI__2020_26___NAN_NAN_,WORK_HASH_6455409402656114039,UNKNOWN_FY
RAJYA_SABHA,Works Completed (8).csv,6383,6382,Normal/Others,WS/MP019/2025-2026/194973-Lighting of public spaces,Uttar Pradesh,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),Installation of a solar high mast light near the house of Balaram Krishna in Hinouta village panchayat of Robertsganj development block,Shri Hardeep Singh Puri (2020-26) (NaN-NaN),Elected MP,Images,2026-01-12,107939.0,2026-01-12,107939.0,107939.0,Normal/Others,OTHER_WORKS,Uttar Pradesh,UTTAR PRADESH,STATE_UTTAR_PRADESH,Elected MP,ELECTED MP,NOM_ELECTED_MP,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),IDA_SONBHADRA_DISTRICT_MAGISTRATE_SONBHADRA_IDA_,Shri Hardeep Singh Puri (2020-26) (NaN-NaN),HARDEEP SINGH PURI (2020-26) (NAN-NAN),MP_RAJYA_SABHA_HARDEEP_SINGH_PURI__2020_26___NAN_NAN_,WORK_HASH_417879171164205627,UNKNOWN_FY
RAJYA_SABHA,Works Completed (8).csv,6384,6383,Normal/Others,WS/MP019/2025-2026/194975-Lighting of public spaces,Uttar Pradesh,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),Work of installation of solar high mast light near the house of Bhagirathi Chauhan in Dhooter village panchayat of development block Ghorawal,Shri Hardeep Singh Puri (2020-26) (NaN-NaN),Elected MP,Images,2025-12-01,107939.0,2025-12-01,107939.0,107939.0,Normal/Others,OTHER_WORKS,Uttar Pradesh,UTTAR PRADESH,STATE_UTTAR_PRADESH,Elected MP,ELECTED MP,NOM_ELECTED_MP,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),IDA_SONBHADRA_DISTRICT_MAGISTRATE_SONBHADRA_IDA_,Shri Hardeep Singh Puri (2020-26) (NaN-NaN),HARDEEP SINGH PURI (2020-26) (NAN-NAN),MP_RAJYA_SABHA_HARDEEP_SINGH_PURI__2020_26___NAN_NAN_,WORK_HASH_17588685001445981322,UNKNOWN_FY
