sr_no,work_category,work_description,state,ida_agency,work_description,mp_name,electednominated,image,completion_date,expenditure_amount
45,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-21,283000.0
46,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-22,283000.0
47,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-22,283000.0
48,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-22,283000.0
49,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-21,283000.0
50,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-21,283000.0
51,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-21,283000.0
52,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-21,283000.0
53,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-21,283000.0
54,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-21,283000.0
55,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-21,283000.0
56,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-21,283000.0
57,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-21,283000.0
58,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-21,283000.0
