sr_no,state,work_description,work_id,ida_agency,mp_name,electednominated,expenditure_amount,vendor_name,work_status,expenditure_amount
70,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP189/2026-2027/247312,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),Kapil Sibal (2022-28) (2022-2028),Elected MP,1172052.0,J R Group,Payment In-Progress,1172052.0
71,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP203/2025-2026/209150,VARANASI(DISTRICT MAGISTRAE VARANASI_IDA),Darshana Singh (2022-28) (2022-2028),Elected MP,466572.0,Pooja Enterprises,Payment In-Progress,466572.0
72,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP889/2025-2026/256626,BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA),Babubhai Jesangbhai Desai (2023-29) (2023-2029),Elected MP,300000.0,Bhoyan Grampanchayat,Payment In-Progress,300000.0
73,Himachal Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP078/2024-2025/48495,KANGRA(DEPUTY COMMISSIONER KANGRA_IDA),Sikander Kumar (2022-28) (2022-2028),Elected MP,50000.0,Bdo Dehra Mp Rajya Sabha,Payment In-Progress,50000.0
74,Puducherry,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP139/2026-2027/292109,Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA),S. Selvaganabathy (2021-27) (2021-2027),Elected MP,777304.0,Kanthakumar,Payment In-Progress,777304.0
75,Bihar,Construction of bus-sheds or bus-stops,WS/MP044/2025-2026/232534,ARWAL(District Planning Officer Arwal_IDA),Akhilesh Prasad Singh (2024-30) (2024-2030),Elected MP,497994.0,Ae Kurtha,Payment In-Progress,497994.0
76,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18410/2026-2027/270839,BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA),Jagat Prakash Nadda (2024-30) (2024-2030),Elected MP,500000.0,Mota Gram Panchayat,Payment In-Progress,500000.0
77,Tamil Nadu,"Construction of Government office buildings (Post office, Police station, Police chauki, etc.)",WS/MP162/2025-2026/202570,DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA),S. Kalyanasundaram (2022-28) (2022-2028),Elected MP,932743.0,Velliangiri D,Payment In-Progress,932743.0
78,Assam,Construction of additional rooms and halls in the existing public and community building,WS/MP071/2025-2026/182288,SIVASAGAR(Deputy Commissioner Sivsagar_IDA),Pabitra Margherita (2022-28) (2022-2028),Elected MP,122881.0,Pinki Lahkar,Payment In-Progress,122881.0
79,Assam,Construction of additional rooms and halls in the existing public and community building,WS/MP071/2026-2027/182295,SIVASAGAR(Deputy Commissioner Sivsagar_IDA),Pabitra Margherita (2022-28) (2022-2028),Elected MP,358330.0,Pinki Lahkar,Payment In-Progress,358330.0
80,Uttar Pradesh,Street lights,WS/MP187/2025-2026/210033,MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,15364.0,Klk Ventures Private Limited,Payment In-Progress,15364.0
81,Uttar Pradesh,Street lights,WS/MP187/2025-2026/210032,ETAWAH(DISTRICT MAGISTRATE ETAWAH_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,30728.0,Klk Ventures Private Limited,Payment In-Progress,30728.0
82,Uttar Pradesh,Street lights,WS/MP187/2025-2026/229720,HAPUR(DISTRICT MAGISTRATE HAPUR_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,14397.0,Klk Ventures Private Limited,Payment In-Progress,14397.0
83,Uttar Pradesh,Street lights,WS/MP187/2025-2026/229865,HAPUR(DISTRICT MAGISTRATE HAPUR_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,28794.0,Klk Ventures Private Limited,Payment In-Progress,28794.0
84,Uttar Pradesh,Street lights,WS/MP187/2025-2026/229721,HAPUR(DISTRICT MAGISTRATE HAPUR_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,57588.0,Klk Ventures Private Limited,Payment In-Progress,57588.0
85,Uttar Pradesh,Street lights,WS/MP187/2025-2026/229718,HAPUR(DISTRICT MAGISTRATE HAPUR_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,57588.0,Klk Ventures Private Limited,Payment In-Progress,57588.0
86,Uttar Pradesh,Street lights,WS/MP187/2025-2026/229719,HAPUR(DISTRICT MAGISTRATE HAPUR_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,28794.0,Klk Ventures Private Limited,Payment In-Progress,28794.0
87,Uttar Pradesh,Street lights,WS/MP187/2025-2026/229717,HAPUR(DISTRICT MAGISTRATE HAPUR_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,57588.0,Klk Ventures Private Limited,Payment In-Progress,57588.0
88,Uttar Pradesh,Street lights,WS/MP187/2025-2026/229864,HAPUR(DISTRICT MAGISTRATE HAPUR_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,14397.0,Klk Ventures Private Limited,Payment In-Progress,14397.0
89,Uttarakhand,Construction of additional rooms and halls in the existing public and community building,WS/MP204/2025-2026/162158,HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA),Kalpana Saini (2022-28) (2022-2028),Elected MP,1994975.0,Kamboj Associates,Payment In-Progress,1994975.0
90,Himachal Pradesh,Construction of common work sheds/ common covered sitting area,WS/MP078/2024-2025/149315,SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA),Sikander Kumar (2022-28) (2022-2028),Elected MP,50000.0,Gp Khatnol,Payment In-Progress,50000.0
91,Karnataka,Construction of community centers and community halls,WS/MP18364/2025-2026/199341,GADAG(Deputy Commsioner Gadag_ida),Narayanasa K. Bhandage (2024-30) (2024-2030),Elected MP,150000.0,Project Manager Nirmiti Kendra Gadag,Payment In-Progress,150000.0
