sr_no,state,mp_name,electednominated,allocated_amount
47,Telangana,Anil Kumar Yadav Mandadi (2024-30) (2024-2030),Elected MP,147000000.0
48,Himachal Pradesh,Anurag Sharma (2026-32) (2026-2032),Elected MP,49000000.0
49,Uttar Pradesh,Arun Singh (2020-26) (2020-2026),Elected MP,223492764.1
50,Madhya Pradesh,Ashok Singh (2024-30) (2024-2030),Elected MP,147000000.0
51,Maharashtra,Ashokrao Shankarrao Chavan (2024-30) (2024-2030),Elected MP,147000000.0
52,Odisha,Ashwini Vaishnaw (2024-30) (2024-2030),Elected MP,265563957.1
53,Telangana,B. Parthasaradhi Reddy (2022-28) (2022-2028),Elected MP,244365104.0
54,Uttar Pradesh,B.L. Verma (2020-26) (2020-2026),Elected MP,196063957.1
55,Gujarat,Babubhai Jesangbhai Desai (2023-29) (2023-2029),Elected MP,171500000.0
56,Uttar Pradesh,Baburam Nishad (2022-28) (2022-2028),Elected MP,196063957.1
57,Jharkhand,Baidyanath Ram (2026-32) (2026-2032),Elected MP,49000000.0
58,Madhya Pradesh,Balyogi Umeshnath (2024-30) (2024-2030),Elected MP,147000000.0
59,Madhya Pradesh,Banshilal Gurjar (2024-30) (2024-2030),Elected MP,147000000.0
60,Andhra Pradesh,Bhashyam Rama Krishna (2026-32) (2026-2032),Elected MP,49000000.0
61,Assam,Birendra Prasad Baishya (2025-31) (2025-2031),Elected MP,98000000.0
62,Uttar Pradesh,Brij Lal (2020-26) (2020-2026),Elected MP,196063957.1
63,Kerala,C. Sadanandan Master (2025-31) (2025-2031),Nominated MP,73500000.0
64,Maharashtra,Chandrakant Damodar Handore (2024-30) (2024-2030),Elected MP,147000000.0
65,Jammu and Kashmir,Chowdry Mohammad Ramzan (2025-31) (2025-2031),Elected MP,73500000.0
66,Tamil Nadu,Christopher Manickam (2026-32) (2026-2032),Elected MP,49356476.5
67,Rajasthan,Chunnilal Garasiya (2024-30) (2024-2030),Elected MP,147000000.0
68,Tamil Nadu,Constandine Ravindran (2026-32) (2026-2032),Elected MP,49356476.5
69,Telangana,Damodar Rao Divakonda (2022-28) (2022-2028),Elected MP,239919406.1
70,Odisha,Debashish Samantaray (2026-30) (2026-2030),Elected MP,23800006.0
71,West Bengal,Derek O' Brien (2023-29) (2023-2029),Elected MP,171500000.0
72,Chhattisgarh,Devendra Pratap Singh (2024-30) (2024-2030),Elected MP,170837637.8
73,Maharashtra,Dhananjay Bhimrao Mahadik (2022-28) (2022-2028),Elected MP,220383643.1
74,Odisha,Dilip Kumar Ray (2026-32) (2026-2032),Elected MP,49000000.0
75,Sikkim,Dorjee Tshering Lepcha (2024-30) (2024-2030),Elected MP,150170726.1
76,Karnataka,G.C. Chandrashekhar (2024-30) (2024-2030),Elected MP,147000000.0
77,Rajasthan,Ghanshyam Tiwari (2022-28) (2022-2028),Elected MP,196063957.1
78,Andhra Pradesh,Golla Baburao (2024-30) (2024-2030),Elected MP,147000000.0
79,Gujarat,Govindbhai Laljibhai Dholakia (2024-30) (2024-2030),Elected MP,147000000.0
80,Jammu and Kashmir,Gulam Ali (2022-28) (2022-2028),Nominated MP,196063957.1
81,Jammu and Kashmir,Gurwinder Singh Oberoi (2025-31) (2025-2031),Elected MP,73500000.0
82,Punjab,Harbhajan Singh (2022-28) (2022-2028),Elected MP,220984094.3
83,Uttar Pradesh,Hardeep Singh Puri (2020-26) (2020-2026),Elected MP,226801049.1
84,Kerala,Haris Beeran (2024-30) (2024-2030),Elected MP,122500000.0
85,Himachal Pradesh,Harsh Mahajan (2024-30) (2024-2030),Elected MP,147000000.0
86,West Bengal,Harsh Vardhan Shringla (2025-31) (2025-2031),Nominated MP,73500000.0
87,Tamil Nadu,I.S. Inbadurai (2025-31) (2025-2031),Elected MP,89248285.42
88,Tamil Nadu,Ilaiyaraaja (2022-28) (2022-2028),Nominated MP,220563957.1
89,Maharashtra,Imran Pratapgarhi (2022-28) (2022-2028),Elected MP,196000000.0
90,Gujarat,Jagat Prakash Nadda (2024-30) (2024-2030),Elected MP,147000000.0
91,Karnataka,Jaggesh (2022-28) (2022-2028),Elected MP,196063957.1
92,Karnataka,Jairam Ramesh (2022-28) (2022-2028),Elected MP,220563957.1
93,Meghalaya,James Pangsang Kongkal Sangma (2026-32) (2026-2032),Elected MP,49000000.0
94,Uttar Pradesh,Javed Ali Khan (2022-28) (2022-2028),Elected MP,196063957.1
95,Uttar Pradesh,Jayant Chaudhary (2022-28) (2022-2028),Elected MP,214074707.7
96,Assam,Jogen Mohan (2026-32) (2026-2032),Elected MP,49000000.0
97,Kerala,Jose K. Mani (2024-30) (2024-2030),Elected MP,122500000.0
98,Tamil Nadu,K.R.N. Rajeshkumar (2022-28) (2022-2028),Elected MP,238513975.5
99,Tamil Nadu,Kamal Haasan (2025-31) (2025-2031),Elected MP,89248285.42
100,Assam,Kanad Purkayastha (2025-31) (2025-2031),Elected MP,98000000.0
101,Uttar Pradesh,Kapil Sibal (2022-28) (2022-2028),Elected MP,196063957.1
102,Haryana,Karamvir Singh Singh Boudh (2026-32) (2026-2032),Elected MP,49000000.0
103,Haryana,Kartikeya Sharma (2022-28) (2022-2028),Elected MP,196000000.0
104,Gujarat,Kesridevsinh Jhala (2023-29) (2023-2029),Elected MP,171500000.0
105,Mizoram,Khiangte Laltluangkima (2026-32) (2026-2032),Elected MP,24500000.0
106,Bihar,Khiru Mahto (2022-28) (2022-2028),Elected MP,235770091.8
107,Tamil Nadu,L. K. Sudhish (2026-32) (2026-2032),Elected MP,49356476.5
108,Karnataka,Lahar Singh Siroya (2022-28) (2022-2028),Elected MP,206278088.1
109,Andhra Pradesh,Lingamaneni Ramesh (2026-32) (2026-2032),Elected MP,49000000.0
110,Karnataka,M. Nagaraja (2026-32) (2026-2032),Elected MP,49000000.0
111,Rajasthan,Madan Rathore (2024-30) (2024-2030),Elected MP,147000000.0
112,Uttarakhand,Mahendra Bhatt (2024-30) (2024-2030),Elected MP,147000000.0
113,Madhya Pradesh,Mahesh Kewat (2026-32) (2026-2032),Elected MP,49000000.0
114,Karnataka,Mallikarjun Kharge (2026-32) (2026-2032),Elected MP,49063957.11
115,Bihar,Manan Kumar Mishra (2024-28) (2024-2028),Elected MP,235263957.1
116,Odisha,Manas Ranjan Mangaraj (2022-28) (2022-2028),Elected MP,196063957.1
117,Odisha,Manmohan Samal (2026-32) (2026-2032),Elected MP,49000000.0
118,Karnataka,Mansoor Ali Khan (2026-32) (2026-2032),Elected MP,49000000.0
119,Andhra Pradesh,Masthan Rao Yadav Beedha (2024-28) (2024-2028),Elected MP,171296045.1
120,Gujarat,Mayankkumar Nayak (2024-30) (2024-2030),Elected MP,147000000.0
121,Andhra Pradesh,Meda Raghunadha Reddy (2024-30) (2024-2030),Elected MP,147000000.0
122,Maharashtra,Milind Murli Deora (2024-30) (2024-2030),Elected MP,147000000.0
123,Uttar Pradesh,Mithlesh Kumar (2022-28) (2022-2028),Elected MP,196063957.1
124,West Bengal,Mohammed Nadimul Haque (2024-30) (2024-2030),Elected MP,147000000.0
125,Rajasthan,Mukul Wasnik (2022-28) (2022-2028),Elected MP,196063957.1
126,West Bengal,Nagendra Ray (2023-29) (2023-2029),Elected MP,171500000.0
127,Delhi,Narain Dass Gupta (2024-30) (2024-2030),Elected MP,160837070.0
128,Karnataka,Narayanasa K. Bhandage (2024-30) (2024-2030),Elected MP,147450000.0
129,Uttarakhand,Naresh Bansal (2020-26) (2020-2026),Elected MP,222043184.7
130,Uttar Pradesh,Naveen Jain (2024-30) (2024-2030),Elected MP,147000000.0
131,Rajasthan,Neeraj Dangi (2026-32) (2026-2032),Elected MP,49000000.0
132,Uttar Pradesh,Neeraj Shekhar (2020-26) (2020-2026),Elected MP,236483662.1
133,Maharashtra,Nitin Laxmanrao Jadhav Patil (2024-28) (2024-2028),Elected MP,122500000.0
134,Bihar,Nitin Nabin (2026-32) (2026-2032),Elected MP,49000000.0
135,Tamil Nadu,P. Chidambaram (2022-28) (2022-2028),Elected MP,236312242.5
136,Kerala,P. P. Suneer (2024-30) (2024-2030),Elected MP,122500000.0
137,Tamil Nadu,P. Wilson (2025-31) (2025-2031),Elected MP,89248285.42
138,Assam,Pabitra Margherita (2022-28) (2022-2028),Elected MP,220563957.1
139,Andhra Pradesh,Paka Venkata Satyanarayana (2025-28) (2025-2028),Elected MP,98000000.0
140,Maharashtra,Parth Ajit Pawar (2026-32) (2026-2032),Elected MP,49000000.0
141,Karnataka,Pawan Khera (2026-32) (2026-2032),Elected MP,49000000.0
142,Jharkhand,Pradip Kumar Varma (2024-30) (2024-2030),Elected MP,178564551.1
143,Maharashtra,Praful Patel (2024-30) (2024-2030),Elected MP,147000000.0
144,West Bengal,Prakash Chik Baraik (2026-29) (2026-2029),Elected MP,49662892.0
145,Assam,Pramod Boro (2026-32) (2026-2032),Elected MP,49000000.0
146,Rajasthan,Pramod Tiwari (2022-28) (2022-2028),Elected MP,196063957.1
147,Tamil Nadu,Praveen Chakravarthy (2026-28) (2026-2028),Elected MP,49356476.5
148,Tamil Nadu,R. Dharmar (2022-28) (2022-2028),Elected MP,260812242.5
149,Tamil Nadu,R. Girirajan (2022-28) (2022-2028),Elected MP,236312242.5
150,Punjab,Raghav Chadha (2022-28) (2022-2028),Elected MP,237229207.3
151,West Bengal,Rajeev Kumar (2026-32) (2026-2032),Elected MP,49000000.0
152,Chhattisgarh,Rajeev Shukla (2022-28) (2022-2028),Elected MP,271174394.2
153,Gujarat,Rajesh Parmanand Shukla (2026-32) (2026-2032),Elected MP,49000000.0
154,Tripura,Rajib Bhattacharjee (2024-28) (2024-2028),Elected MP,122500000.0
155,Punjab,Rajinder Gupta (2025-28) (2025-2028),Elected MP,49000000.0
156,Madhya Pradesh,Rajneesh Kumar Agrawal (2026-32) (2026-2032),Elected MP,49000000.0
157,Bihar,Ram Nath Thakur (2026-32) (2026-2032),Elected MP,65673638.73
158,Maharashtra,Ramdas Bandu Athawale (2026-32) (2026-2032),Elected MP,49000000.0
159,Uttar Pradesh,Ramji (2020-26) (2020-2026),Elected MP,174518577.1
160,Uttar Pradesh,Ramji Lal Suman (2024-30) (2024-2030),Elected MP,147000000.0
161,Maharashtra,Ramrao Sakharam Wadkute (2026-32) (2026-2032),Elected MP,49000000.0
162,Rajasthan,Randeep Singh Surjewala (2022-28) (2022-2028),Elected MP,196063957.1
163,Uttar Pradesh,Ratanjit Pratap Narain Singh (2024-30) (2024-2030),Elected MP,147000000.0
164,Telangana,Ravi Chandra Vaddiraju (2024-30) (2024-2030),Elected MP,152732534.1
165,Assam,Rwngwra Narzary (2022-28) (2022-2028),Elected MP,220563957.1
166,Andhra Pradesh,Ryaga Krishnaiah (2024-28) (2024-2028),Elected MP,170413583.8
167,Andhra Pradesh,S Niranjan Reddy (2022-28) (2022-2028),Elected MP,224621383.1
168,Gujarat,S. Jaishankar (2023-29) (2023-2029),Elected MP,171500000.0
169,Tamil Nadu,S. Kalyanasundaram (2022-28) (2022-2028),Elected MP,239763792.5
170,Puducherry,S. Selvaganabathy (2021-27) (2021-2027),Elected MP,292881856.5
171,Tamil Nadu,S.R. Sivalingam (2025-31) (2025-2031),Elected MP,89248285.42
172,Goa,Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029),Elected MP,171500000.0
173,Jammu and Kashmir,Sajjad Ahmad Kichloo (2025-31) (2025-2031),Elected MP,73500000.0
174,West Bengal,Samik Bhattacharya (2024-30) (2024-2030),Elected MP,147000000.0
175,West Bengal,Samirul Islam (2023-29) (2023-2029),Elected MP,171500000.0
176,Andhra Pradesh,Sana Sathish Babu (2026-32) (2026-2032),Elected MP,49063978.0
177,Kerala,Sandosh Kumar P (2022-28) (2022-2028),Elected MP,220563957.1
178,Haryana,Sanjay Bhatia (2026-32) (2026-2032),Elected MP,49000000.0
179,Bihar,Sanjay Kumar Jha (2024-30) (2024-2030),Elected MP,186200000.0
180,Maharashtra,Sanjay Raut (2022-28) (2022-2028),Elected MP,196063957.1
181,Uttar Pradesh,Sanjay Seth (2024-30) (2024-2030),Elected MP,147000000.0
182,Delhi,Sanjay Singh (2024-30) (2024-2030),Elected MP,184466426.1
183,Bihar,Sanjay Yadav (2024-30) (2024-2030),Elected MP,186200000.0
184,Punjab,Sant Balbir Singh (2022-28) (2022-2028),Elected MP,196359074.4
185,Jammu and Kashmir,Sat Paul Sharma (2025-31) (2025-2031),Elected MP,73500000.0
186,Bihar,Satish Chandra Dubey (2022-28) (2022-2028),Elected MP,235263957.1
187,Chandigarh,Satnam Singh Sandhu (2024-30) (2024-2030),Nominated MP,147000000.0
188,Bihar,Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,237168443.5
189,Bihar,Shivesh Kumar (2026-32) (2026-2032),Elected MP,49000000.0
190,Haryana,Subhash Barala (2024-30) (2024-2030),Elected MP,147000000.0
191,Odisha,Subhasish Khuntia (2024-30) (2024-2030),Elected MP,147000000.0
192,Odisha,Sujeet Kumar (2026-32) (2026-2032),Elected MP,49000000.0
193,Uttar Pradesh,Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,220563957.1
194,Arunachal Pradesh,Tai Tagak (2026-32) (2026-2032),Elected MP,49000000.0
195,Madhya Pradesh,Tarun Chugh (2026-32) (2026-2032),Elected MP,49000000.0
196,Uttar Pradesh,Tejveer Singh (2024-30) (2024-2030),Elected MP,147000000.0
197,Assam,Terash Gowalla (2026-32) (2026-2032),Elected MP,49000000.0
198,Tamil Nadu,Tiruchi Siva (2026-32) (2026-2032),Elected MP,49356476.5
199,Maharashtra,Ujjwal Deorao Nikam (2025-31) (2025-2031),Nominated MP,73500000.0
200,Bihar,Upendra Kushwaha (2026-32) (2026-2032),Elected MP,49000000.0
201,Andhra Pradesh,V. Vijayendra Prasad (2022-28) (2022-2028),Nominated MP,196063957.1
202,Andhra Pradesh,Vijay Chintakayala (2026-32) (2026-2032),Elected MP,49000000.0
203,Maharashtra,Vinod Shridhar Tawde (2026-32) (2026-2032),Elected MP,49000000.0
204,Madhya Pradesh,Vivek K. Tankha (2022-28) (2022-2028),Elected MP,220563957.1
205,Andhra Pradesh,Yerram Venkata Subba Reddy (2024-30) (2024-2030),Elected MP,147000000.0
206,Manipur,Adhikarimayum Sharda Devi (2026-32) (2026-2032),Elected MP,49000000.0
207,Uttar Pradesh,Darshana Singh (2022-28) (2022-2028),Elected MP,196994373.9
208,Uttar Pradesh,Geeta Alias Chandraprabha (2020-26) (2020-2026),Elected MP,196063957.1
209,Uttar Pradesh,Jaya Amitabh Bachchan (2024-30) (2024-2030),Elected MP,147000000.0
210,Kerala,Jebi Mather Hisham (2022-28) (2022-2028),Elected MP,220563957.1
211,Chhattisgarh,Laxmi Verma (2026-32) (2026-2032),Elected MP,49000000.0
212,Jharkhand,Mahua Maji (2022-28) (2022-2028),Elected MP,232524001.2
213,West Bengal,Mamata Thakur (2024-30) (2024-2030),Elected MP,147000000.0
214,Maharashtra,Maya Chintaman Ivnate (2026-32) (2026-2032),Elected MP,49000000.0
215,Madhya Pradesh,Maya Naroliya (2024-30) (2024-2030),Elected MP,147000000.0
216,Karnataka,Nirmala Sitharaman (2022-28) (2022-2028),Elected MP,215972051.5
217,Kerala,P. T. Usha (2022-28) (2022-2028),Nominated MP,196063957.1
218,Chhattisgarh,Phulo Devi Netam (2026-32) (2026-2032),Elected MP,49000000.0
219,Tamil Nadu,Rajathi (2025-31) (2025-2031),Elected MP,89248285.42
220,Chhattisgarh,Ranjeet Ranjan (2022-28) (2022-2028),Elected MP,246780257.9
221,Haryana,Rekha Sharma (2024-28) (2024-2028),Elected MP,98000000.0
222,Telangana,Renuka Chowdhury (2024-30) (2024-2030),Elected MP,147000000.0
223,Nagaland,S. Phangnon Konyak (2022-28) (2022-2028),Elected MP,206563957.1
224,Uttar Pradesh,Sadhna Singh (2024-30) (2024-2030),Elected MP,147000000.0
225,West Bengal,Sagarika Ghose (2024-30) (2024-2030),Elected MP,147000000.0
226,Uttar Pradesh,Sangeeta Yadav (2022-28) (2022-2028),Elected MP,196063957.1
227,Uttar Pradesh,Seema Dwivedi (2020-26) (2020-2026),Elected MP,173830159.1
228,Rajasthan,Sonia Gandhi (2024-30) (2024-2030),Elected MP,147000000.0
229,Karnataka,Sudha Murty (2024-30) (2024-2030),Nominated MP,147000000.0
230,Odisha,Sulata Deo (2022-28) (2022-2028),Elected MP,196084721.4
231,Madhya Pradesh,Sumitra Balmik (2022-28) (2022-2028),Elected MP,196063957.1
Grand Total,,,,33638482301.82
