sr_no,work_category,work_description,state,ida_agency,mp_name,electednominated,work_description,recommended_date,recommended_amount,sanction_date
11,Normal/Others,LED Semi Highmast Light,Uttar Pradesh,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),Mithlesh Kumar (2022-28) (2022-2028),Elected MP,LED Semi Highmast Light,2023-06-19,243000.0,2023-08-24
12,Normal/Others,LED Semi Highmast Light,Uttar Pradesh,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),Mithlesh Kumar (2022-28) (2022-2028),Elected MP,LED Semi Highmast Light,2023-06-19,243000.0,2023-08-24
13,Normal/Others,High Mask LED Light ( 6 lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Light ( 6 lights),2023-06-21,283000.0,2023-07-07
14,Normal/Others,High Mask Street Light ( 6 lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Light ( 6 lights),2023-06-21,283000.0,2023-07-07
15,Normal/Others,High Mask Street Lights ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Lights ( 6 Lights),2023-06-21,283000.0,2023-07-07
16,Normal/Others,High Mask Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07
17,Normal/Others,High MAsk Street Light,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High MAsk Street Light,2023-06-21,283000.0,2023-07-07
18,Normal/Others,High Mask Street Light,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Light,2023-06-21,283000.0,2023-07-07
19,Normal/Others,High MAsk Street Lights ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High MAsk Street Lights ( 6 Lights),2023-06-21,283000.0,2023-07-07
20,Normal/Others,High Mask Street Lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Lights,2023-06-21,283000.0,2023-07-07
21,Normal/Others,High MAsk Street Lights ( 6 lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High MAsk Street Lights ( 6 lights),2023-06-21,283000.0,2023-07-07
22,Normal/Others,High Mask Street Light ( 6 lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Light ( 6 lights),2023-06-21,283000.0,2023-07-07
23,Normal/Others,High Mask Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07
24,Normal/Others,High MAsk Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High MAsk Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07
25,Normal/Others,High MAsk Street Lights ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High MAsk Street Lights ( 6 Lights),2023-06-21,283000.0,2023-07-07
26,Normal/Others,High Mask StreetLights ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask StreetLights ( 6 Lights),2023-06-21,283000.0,2023-07-07
27,Normal/Others,High Mask Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07
28,Normal/Others,High MaskStreet Lights ( 6 Light),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High MaskStreet Lights ( 6 Light),2023-06-21,283000.0,2023-07-07
29,Normal/Others,High MAsk Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High MAsk Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07
30,Normal/Others,High Mask Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07
31,Normal/Others,High Mask Street Lights ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Lights ( 6 Lights),2023-06-21,283000.0,2023-07-07
32,Normal/Others,High Mask Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07
33,Normal/Others,???? ????? ??? ?? ??????? ???? ??? ???? ????? ??? ???? ??? ????? ????? ?? ?? ?? ??. ??? ??? ???? ?? ?? ?? ?? ???? ???? ???? ??? ??? ???? ???? ??? ??? ??? ?? ???????,Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,???? ????? ??? ?? ??????? ???? ??? ???? ????? ??? ???? ??? ????? ????? ?? ?? ?? ??. ??? ??? ???? ?? ?? ?? ?? ???? ???? ???? ??? ??? ???? ???? ??? ??? ??? ?? ???????,2023-06-21,1484100.0,2023-09-15
34,Normal/Others,High Mask LED Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07
35,Normal/Others,High Mask LED Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07
36,Normal/Others,High Mask LED Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07
37,Normal/Others,High Mask LED Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07
38,Normal/Others,High Mask LED Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07
39,Normal/Others,High Mask LED Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07
40,Normal/Others,High Mask LED Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07
41,Normal/Others,High Mask LED Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07
42,Normal/Others,High Mask LED Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07
43,Normal/Others,High Mask LED Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07
44,Normal/Others,High Mask LED Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07
45,Normal/Others,High Mask LED Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07
46,Normal/Others,High Mask LED Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07
47,Normal/Others,High Mask LED Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07
48,Normal/Others,High Mask LED Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07
49,Normal/Others,High Mask LED Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07
50,Normal/Others,High Mask LED Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07
51,Normal/Others,DUDHIYa MANDIR PILIBHIT,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,DUDHIYa MANDIR PILIBHIT,2023-06-21,283000.0,2023-07-07
52,Normal/Others,High Mask LED Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07
53,Normal/Others,High Mask LED Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07
54,Normal/Others,paber block work in ground government sanjay middle school police narsinghpur,Madhya Pradesh,Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA),Vivek K. Tankha (2022-28) (2022-2028),Elected MP,paber block work in ground government sanjay middle school police narsinghpur,2023-06-22,500000.0,2023-09-20
55,Normal/Others,"Gram Panchayat Nuniya Kalan, Janpad Panchayat Panagar ke gram Nuniya Kalan ke Bajrai Nala ke pas Puliya nirman, Jabalpur",Madhya Pradesh,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Gram Panchayat Nuniya Kalan, Janpad Panchayat Panagar ke gram Nuniya Kalan ke Bajrai Nala ke pas Puliya nirman, Jabalpur",2023-06-22,500000.0,2026-01-31
56,Normal/Others,"?????? ???? ????, ??? ?????? ??? ??0??0??0 ??? ?? ??????? ????? ?",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,"?????? ???? ????, ??? ?????? ??? ??0??0??0 ??? ?? ??????? ????? ?",2023-06-23,1385546.0,2023-10-26
57,Normal/Others,??0??0??0 ??? ?? ??????? ?????,Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,??0??0??0 ??? ?? ??????? ?????,2023-06-23,1486150.0,2023-10-26
58,Normal/Others,??0??0??0 ??? ?? ???????,Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,??0??0??0 ??? ?? ???????,2023-06-23,1198135.0,2023-10-26
59,Normal/Others,??0??0??0 ??? ?? ??????? ?????,Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,??0??0??0 ??? ?? ??????? ?????,2023-06-23,897400.0,2023-10-26
60,Normal/Others,??0??0??0 ??? ??????? ?????,Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,??0??0??0 ??? ??????? ?????,2023-06-23,1484800.0,2023-09-05
61,Normal/Others,??? ??????? ?????,Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,??? ??????? ?????,2023-06-23,989898.0,2023-08-12
62,Normal/Others,??? ??????? ?????,Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,??? ??????? ?????,2023-06-23,989710.0,2023-08-12
63,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07
64,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07
65,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07
66,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07
67,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07
68,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07
69,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07
70,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07
71,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07
72,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07
73,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07
74,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07
75,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07
76,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07
77,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07
78,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07
79,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07
80,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07
81,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07
82,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07
83,Normal/Others,"Gram Nagna, Gram Panchayat Nagna, Janpad Panchayat Panagar ke Govt. Middle School Bhawan Parisar me Pevar Block kary hetu, District Jabalpur",Madhya Pradesh,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Gram Nagna, Gram Panchayat Nagna, Janpad Panchayat Panagar ke Govt. Middle School Bhawan Parisar me Pevar Block kary hetu, District Jabalpur",2023-06-23,600000.0,2025-05-15
84,Normal/Others,"????? ???? ??????????, ????? ?????? ?????, ???? ?????? ????? ???? ?????? ??? ?????? ??????? ????.",Madhya Pradesh,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"????? ???? ??????????, ????? ?????? ?????, ???? ?????? ????? ???? ?????? ??? ?????? ??????? ????.",2023-06-23,300000.0,2023-08-11
85,Normal/Others,"Samudayik bhavan nirman kary, Gram Madna, Gram Panchayat Imalia (Tikari) Janpad Panchayat Panagar, Vidhan Sabha Panagar, District Jabalpur",Madhya Pradesh,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Samudayik bhavan nirman kary, Gram Madna, Gram Panchayat Imalia (Tikari) Janpad Panchayat Panagar, Vidhan Sabha Panagar, District Jabalpur",2023-06-23,300000.0,2023-10-05
86,Normal/Others,"Sanyukt Rajak Samaj Sabha (Reg. no. 25664) Gwarighat sthit Dharm Shala main Kaksh nirman hetu, Vidhan Sabha Pashchim, District Jabalpur",Madhya Pradesh,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Sanyukt Rajak Samaj Sabha (Reg. no. 25664) Gwarighat sthit Dharm Shala main Kaksh nirman hetu, Vidhan Sabha Pashchim, District Jabalpur",2023-06-23,250000.0,2024-09-12
87,Normal/Others,"Gram Panchayat Richhai, Janpad Panchayat Jabalpur Sharda Nagar ke gram purva main Motor evam pipe line dwara jal suply hetu, vidhan Sabha Panagar, District Jabalpur",Madhya Pradesh,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Gram Panchayat Richhai, Janpad Panchayat Jabalpur Sharda Nagar ke gram purva main Motor evam pipe line dwara jal suply hetu, vidhan Sabha Panagar, District Jabalpur",2023-06-23,300000.0,2023-10-06
88,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07
89,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07
90,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07
91,Normal/Others,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07
